"stable_id","name","category","version","implementation_version","created_at","aliases","input_schema","output_schema","units","assumptions","invalid_input_behavior","numerical_method","reference_source","reference_vector_status","property_test_status","fuzz_status","parity_status","performance_status","security_status","product_truth","detail_route","provenance_status"
"fresh-present-value","Present Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""futureValue"",""rate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","present-value","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-present-value","FRESH_REIMPLEMENTATION_2026"
"fresh-future-value","Future Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""presentValue"",""rate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","future-value","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-future-value","FRESH_REIMPLEMENTATION_2026"
"fresh-annuity-payment","Level Annuity Payment","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""principal"",""rate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","annuity-payment","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-annuity-payment","FRESH_REIMPLEMENTATION_2026"
"fresh-annuity-present-value","Annuity Present Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""payment"",""rate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","annuity-pv","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-annuity-present-value","FRESH_REIMPLEMENTATION_2026"
"fresh-growing-annuity-present-value","Growing Annuity Present Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""payment"",""discountRate"",""growthRate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","growing-annuity-pv","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-growing-annuity-present-value","FRESH_REIMPLEMENTATION_2026"
"fresh-perpetuity-present-value","Perpetuity Present Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""payment"",""rate""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","perpetuity-pv","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-perpetuity-present-value","FRESH_REIMPLEMENTATION_2026"
"fresh-growing-perpetuity-present-value","Growing Perpetuity Present Value","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""payment"",""discountRate"",""growthRate""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","growing-perpetuity-pv","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-growing-perpetuity-present-value","FRESH_REIMPLEMENTATION_2026"
"fresh-effective-annual-rate","Effective Annual Rate","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""nominalRate"",""compounds""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","ear","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-effective-annual-rate","FRESH_REIMPLEMENTATION_2026"
"fresh-nominal-rate-from-effective","Nominal Rate From Effective","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""effectiveRate"",""compounds""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","nominal-from-effective","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-nominal-rate-from-effective","FRESH_REIMPLEMENTATION_2026"
"fresh-discount-factor","Discount Factor","time-value-of-money","2.0.0","fresh-2026.1","2026-07-30","","{""type"":""object"",""required"":[""rate"",""periods""],""additionalProperties"":false}","{""type"":""object"",""required"":[""value""],""properties"":{""value"":{""type"":""number""}}}","formula-specific","User inputs are authoritative. | No external provider data is required.","Reject non-finite values, unsafe keys, invalid domains and unbounded arrays.","discount-factor","Standard finance, statistics or quantitative-method textbook identity.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","formula-detail/fresh-discount-factor","FRESH_REIMPLEMENTATION_2026"
