route,canonicalAtlasMapping,implementationStatus,notes
auth-login,A5-ACCESS-AUTH-LOGIN,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
auth-register,A5-ACCESS-AUTH-REGISTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
auth-recovery,A5-ACCESS-AUTH-RECOVERY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
account-session,A5-ACCOUNT-ACCOUNT-SESSION,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
security-setup,A5-ACCOUNT-SECURITY-SETUP,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
passkey-center,A5-ACCOUNT-PASSKEY-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
account-recovery,A5-ACCOUNT-ACCOUNT-RECOVERY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
secure-import-vault,A5-OPERATIONS-SECURE-IMPORT-VAULT,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
delivery-operations,A5-OPERATIONS-DELIVERY-OPERATIONS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
platform-readiness,A5-OPERATIONS-PLATFORM-READINESS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
secret-rotation,A5-SECURITY-SECRET-ROTATION,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
quarantine-review,A5-OPERATIONS-QUARANTINE-REVIEW,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
staging-assurance,A5-OPERATIONS-STAGING-ASSURANCE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
live-markets,A5-LIVE-LIVE-MARKETS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
theme-personas,A5-EXPERIENCE-THEME-PERSONAS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
feature-universe,A5-EXPERIENCE-FEATURE-UNIVERSE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
about-qelly,A5-COMPANY-ABOUT-QELLY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
discovery-hub,A5-DISCOVER-DISCOVERY-HUB,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
asset-rankings,A5-DISCOVER-ASSET-RANKINGS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
search,A5-DISCOVER-SEARCH,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
categories,A5-DISCOVER-CATEGORIES,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
venues,A5-DISCOVER-VENUES,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
dex-discovery,A5-DISCOVER-DEX-DISCOVERY,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
global-charts,A5-DISCOVER-GLOBAL-CHARTS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
converter,A5-DISCOVER-CONVERTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
news-research,A5-DISCOVER-NEWS-RESEARCH,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
trust-center,A5-DISCOVER-TRUST-CENTER,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
asset-intelligence,A5-INTELLIGENCE-ASSET-INTELLIGENCE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
advanced-chart,A5-INTELLIGENCE-ADVANCED-CHART,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
fundamentals-estimates,A5-INTELLIGENCE-FUNDAMENTALS-ESTIMATES,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
filing-workspace,A5-INTELLIGENCE-FILING-WORKSPACE,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
event-calendar,A5-INTELLIGENCE-EVENT-CALENDAR,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
comparison-lab,A5-INTELLIGENCE-COMPARISON-LAB,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
market,A5-INTELLIGENCE-MARKET,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
rankings,A5-INTELLIGENCE-RANKINGS,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
asset,A5-WORKSPACE-ASSET,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
watchlist,A5-WORKSPACE-WATCHLIST,implemented-local,Real reusable route family; 400/10000 atlases remain taxonomy only
