record_id,outcome,failure_id,run_id,artifact_id,exact_head,route,browser,viewport,theme,persona,motion,first_failing_assertion,all_failure_reasons,console_error,page_error,resource_failure,horizontal_overflow_px,font_status,truth_boundary_passed,cls,screenshot_path,likely_category,confirmed_root_cause,affected_source_path,severity,fix_commit,retest_result,waiver_status,waiver_rationale
P2B-R30515801762-0001,FAIL,R2-0001,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,calculator-center,chromium,360x800,dark,burgundy-command,full,fixed-nav-clearance:5/-245.015625/-245.015625,fixed-nav-clearance:5/-245.015625/-245.015625,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-calculator-center-360x800-dark-full.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0002,FAIL,R2-0002,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,india-finance,chromium,360x800,dark,burgundy-command,full,fixed-nav-clearance:2/-2197.328125/-2197.328125,fixed-nav-clearance:2/-2197.328125/-2197.328125,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-india-finance-360x800-dark-full.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0003,FAIL,R2-0003,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,indicator-library,chromium,360x800,dark,burgundy-command,full,fixed-nav-clearance:0/-478.609375/-478.609375,fixed-nav-clearance:0/-478.609375/-478.609375,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-indicator-library-360x800-dark-full.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0004,FAIL,R2-0004,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,formula-library,chromium,360x800,dark,burgundy-command,full,fixed-nav-clearance:0/-5440.609375/-5440.609375,fixed-nav-clearance:0/-5440.609375/-5440.609375,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-formula-library-360x800-dark-full.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0005,FAIL,R2-0005,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,saved-calculations,chromium,360x800,dark,burgundy-command,full,fixed-nav-clearance:0/-445.96875/-445.96875,fixed-nav-clearance:0/-445.96875/-445.96875,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-saved-calculations-360x800-dark-full.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0006,FAIL,R2-0006,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,calculator-center,chromium,360x800,dark,burgundy-command,reduced,fixed-nav-clearance:1/-72.015625/-72.015625,fixed-nav-clearance:1/-72.015625/-72.015625,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-calculator-center-360x800-dark-reduced.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0007,FAIL,R2-0007,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,india-finance,chromium,360x800,dark,burgundy-command,reduced,fixed-nav-clearance:1/-72.328125/-72.328125,fixed-nav-clearance:1/-72.328125/-72.328125,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-india-finance-360x800-dark-reduced.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0008,FAIL,R2-0008,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,indicator-library,chromium,360x800,dark,burgundy-command,reduced,fixed-nav-clearance:1/-71.609375/-71.609375,fixed-nav-clearance:1/-71.609375/-71.609375,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-indicator-library-360x800-dark-reduced.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0009,FAIL,R2-0009,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,formula-library,chromium,360x800,dark,burgundy-command,reduced,fixed-nav-clearance:1/-71.609375/-71.609375,fixed-nav-clearance:1/-71.609375/-71.609375,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-formula-library-360x800-dark-reduced.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
P2B-R30515801762-0010,FAIL,R2-0010,30515801762,8749246424,9b5d87e42e5ba2f9b1f49b53da392fcae2ea6f3b,saved-calculations,chromium,360x800,dark,burgundy-command,reduced,fixed-nav-clearance:1/-71.96875/-71.96875,fixed-nav-clearance:1/-71.96875/-71.96875,,,,0,loaded,True,0,.prompt2b-review/screenshots/chromium-saved-calculations-360x800-dark-reduced.png,test harness defect,"Opening-brand readiness and smooth-scroll measurement defect: the harness wrote an unrelated local-storage key instead of the product session-storage opening key, then measured before the actual scroll owner settled.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,
