id,area,capability,status,evidence,boundary
P22-001,Brand lock,Permanent deepest-burgundy gradient token,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-002,Brand lock,Five named gradient stops,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-003,Brand lock,Global chrome gradient,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-004,Brand lock,Hero gradient,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-005,Brand lock,Active-navigation identity,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-006,Brand lock,Primary-action brand continuity,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-007,Brand lock,Porcelain analytical surfaces,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-008,Brand lock,White analytical surfaces,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-009,Brand lock,Protected positive semantic,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-010,Brand lock,Protected negative semantic,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-011,Brand lock,Protected warning semantic,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-012,Brand lock,Protected simulated semantic,implemented-local-foundation,packages/design-tokens/brand-lock.json; qelly-sovereign-v3.css,
P22-013,Typography and polarity,Rounded geometric display stack,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-014,Typography and polarity,Readable body stack,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-015,Typography and polarity,Tabular data stack,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-016,Typography and polarity,Large display scale,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-017,Typography and polarity,Readable body scale,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-018,Typography and polarity,Compact table scale,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-019,Typography and polarity,Dark text on porcelain,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-020,Typography and polarity,Light text on burgundy,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-021,Typography and polarity,Secondary text contrast rules,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-022,Typography and polarity,Tabular numeric alignment,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-023,Typography and polarity,Heading tracking system,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-024,Typography and polarity,Monospace evidence labels,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-025,Typography and polarity,Responsive font scale,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-026,Typography and polarity,No redistributed font files,implemented-local-foundation,qelly-sovereign-v3.css; docs/23_PART22_SOVEREIGN_EXPERIENCE_DESIGN_SYSTEM.md,
P22-027,Modular geometry,Curved page hero,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-028,Modular geometry,Asymmetric card radius,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-029,Modular geometry,Bento grid system,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-030,Modular geometry,Nested content islands,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-031,Modular geometry,Global command bar,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-032,Modular geometry,Sectioned navigation rail,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-033,Modular geometry,Context toolbar,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-034,Modular geometry,KPI module,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-035,Modular geometry,Evidence chip,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-036,Modular geometry,Source inspector,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-037,Modular geometry,Data table shell,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-038,Modular geometry,Chart panel shell,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-039,Modular geometry,Form module,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-040,Modular geometry,Empty state,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-041,Modular geometry,Loading state,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-042,Modular geometry,Error state,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-043,Modular geometry,Drawer shell,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-044,Modular geometry,Responsive containment,implemented-local-foundation,apps/web/public/assets/qelly-sovereign-v3.css; route modules,
P22-045,Buttons and interaction states,Primary button,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-046,Buttons and interaction states,Secondary button,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-047,Buttons and interaction states,Ghost button,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-048,Buttons and interaction states,Icon button,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-049,Buttons and interaction states,Default state,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-050,Buttons and interaction states,Hover elevation,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-051,Buttons and interaction states,Hover border emphasis,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-052,Buttons and interaction states,Pointer magnetic response,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-053,Buttons and interaction states,Ripple feedback,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-054,Buttons and interaction states,Shimmer feedback,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-055,Buttons and interaction states,Pressed state,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-056,Buttons and interaction states,Focus-visible ring,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
P22-057,Buttons and interaction states,Disabled state,implemented-local-foundation,qelly-sovereign-v3.css; qelly-sovereign-motion.js,
