index,route,label,section,public,implementation
"1","auth-login","Secure Login","Access","true","runnable-route"
"2","auth-register","Create Organization","Access","true","runnable-route"
"3","auth-recovery","Recover Account","Access","true","runnable-route"
"4","account-session","Profile & Security","Account","false","runnable-route"
"5","security-setup","MFA Setup","Account","false","runnable-route"
"6","passkey-center","Passkey Center","Account","false","runnable-route"
"7","account-recovery","Recovery Controls","Account","false","runnable-route"
"8","secure-import-vault","Secure Import Vault","Operations","false","runnable-route"
"9","delivery-operations","Delivery Operations","Operations","false","runnable-route"
"10","platform-readiness","Platform Readiness","Operations","false","runnable-route"
"11","secret-rotation","Secret Rotation","Security","false","runnable-route"
"12","quarantine-review","Quarantine Review","Operations","false","runnable-route"
"13","staging-assurance","Staging Assurance","Operations","false","runnable-route"
"14","live-markets","Global Market Network","Live","true","runnable-route"
"15","calculator-center","Quant Calculator Center","Tools","true","runnable-route"
"16","india-finance","India Finance & SIP","Tools","true","runnable-route"
"17","indicator-library","Indicator Library","Tools","true","runnable-route"
"18","formula-library","Formula Library","Tools","true","runnable-route"
"19","saved-calculations","Saved Calculations","Tools","true","runnable-route"
"20","formula-detail","Formula Detail","Detail","true","runnable-route"
"21","indicator-detail","Indicator Detail","Detail","true","runnable-route"
"22","calculator-detail","Calculator Detail","Detail","true","runnable-route"
"23","saved-calculation-detail","Saved Calculation Detail","Detail","true","runnable-route"
"24","theme-personas","Theme Personas","Experience","false","runnable-route"
"25","feature-universe","Feature Universe","Experience","true","runnable-route"
"26","about-qelly","About Qelly","Company","true","runnable-route"
"27","discovery-hub","Discovery Overview","Discover","false","runnable-route"
"28","asset-rankings","Asset Rankings","Discover","true","runnable-route"
"29","search","Universal Search","Discover","true","runnable-route"
"30","categories","Categories","Discover","true","runnable-route"
"31","venues","Venues","Discover","false","runnable-route"
"32","dex-discovery","DEX Discovery","Discover","false","runnable-route"
"33","global-charts","Global Charts","Discover","false","runnable-route"
"34","converter","Converter","Discover","false","runnable-route"
"35","news-research","Qelly Chat & Research","Discover","true","runnable-route"
"36","trust-center","Trust Center","Discover","false","runnable-route"
"37","asset-intelligence","Asset Intelligence","Intelligence","false","runnable-route"
"38","advanced-chart","Advanced Chart Studio","Intelligence","false","runnable-route"
"39","fundamentals-estimates","Fundamentals & Estimates","Intelligence","false","runnable-route"
"40","filing-workspace","Filing Workspace","Intelligence","false","runnable-route"
"41","event-calendar","Event Calendar","Intelligence","false","runnable-route"
"42","comparison-lab","Comparison Lab","Intelligence","false","runnable-route"
"43","market","Market Command","Intelligence","true","runnable-route"
"44","rankings","Legacy Rankings","Intelligence","false","runnable-route"
"45","asset","Asset Dossier","Workspace","true","runnable-route"
"46","watchlist","Watchlists","Workspace","false","runnable-route"
"47","alert-center","Alert Rules","Workspace","false","runnable-route"
"48","notification-center","Notifications","Workspace","false","runnable-route"
"49","screener-lab","Screener Lab","Workspace","false","runnable-route"
"50","portfolio-analytics","Portfolio Analytics","Workspace","false","runnable-route"
"51","research-workspace","Research Workspace","Workspace","false","runnable-route"
"52","onboarding","Guided Onboarding","Workspace","false","runnable-route"
"53","notification-schedules","Notification Schedules","Workspace","false","runnable-route"
"54","formula-screener","Formula Screener","Workspace","false","runnable-route"
"55","portfolio-attribution","Portfolio Attribution","Workspace","false","runnable-route"
"56","import-center","Import Center","Workspace","false","runnable-route"
"57","research-history","Research History","Workspace","false","runnable-route"
"58","migration-center","Migration Center","Operations","false","runnable-route"
"59","theme-lab","Theme Studio","Platform","false","runnable-route"
"60","identity-access","Identity & Access","Control","false","runnable-route"
"61","data-mesh","Provider Runtime","Control","false","runnable-route"
"62","instrument-master","Instrument Master","Control","false","runnable-route"
"63","timeseries-lab","Time Series Lab","Data Plane","false","runnable-route"
"64","stream-operations","Stream Operations","Data Plane","false","runnable-route"
"65","observability","Observability Center","Operations","false","runnable-route"
"66","decision-provenance","Decision Provenance","Evidence","false","runnable-route"
"67","qelly-verify","Qelly Verify","Evidence","true","runnable-route"
"68","security-evidence","Security Evidence","Evidence","false","runnable-route"
"69","category-detail","Category Detail","Detail","false","runnable-route"
"70","venue-detail","Venue Detail","Detail","false","runnable-route"
"71","research-article","Research Article","Detail","false","runnable-route"
