dependency_id,hostname,reference_count,purpose,source_examples,runtime_reachable,browser_exposed,credentials_required,license_terms,status,risk,recommended_action,last_verified,source_commit
EXT-001,$,39,test/local/generated reference,scripts/build.mjs:18 | scripts/build.mjs:19 | scripts/font-comparison-board.mjs:13 | scripts/production-identity-check.mjs:17 | scripts/smoke.mjs:10,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-002,127.0.0.1,43,test/local/generated reference,apps/web/FRONTEND_DELIVERY_README.md:14 | docker-compose.yml:36 | docker-compose.yml:105 | Dockerfile:21 | docs/04_API_REFERENCE.md:3,no/should not be,yes,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-003,169.254.169.254,1,test/local/generated reference,tests/release-a4-recovery-quarantine-readiness.test.mjs:38,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,SSRF test target,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-004,api,1,test/local/generated reference,.env.production.example:86,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-005,api.github.com,1,external runtime/documentation dependency,scripts/prompt2a-wave0-bootstrap.mjs:100,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-006,api.preview.invalid,3,test/local/generated reference,.github/workflows/ci.yml:51 | .github/workflows/prompt2a-wave0-audit.yml:111 | .github/workflows/release.yml:38,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-007,app,2,test/local/generated reference,.env.production.example:82 | .env.production.example:85,no/should not be,no/indirect,unknown/provider-specific,not applicable,TEST_ONLY,parser false positive/test host,exclude from production graph,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-008,cdn.jsdelivr.net,3,external runtime/documentation dependency,scripts/font-comparison-board.mjs:20 | scripts/font-comparison-board.mjs:24 | scripts/font-comparison-board.mjs:28,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-009,coinmarketcap.com,1,external runtime/documentation dependency,scripts/ui-review-premium.mjs:30,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
EXT-010,data-api.binance.vision,4,external runtime/documentation dependency,src/live-markets/live-market-service.mjs:101 | src/markets/public-market-service.mjs:109 | src/markets/public-market-service.mjs:201 | tests/decision-provenance.test.mjs:10,possible,no/indirect,unknown/provider-specific,review required,AUDIT_REQUIRED,external availability/privacy/license dependency,govern and monitor,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
