route,label,section,milestone,public,hidden,anonymous_only,classification,data_state,notes
about-qelly,About Qelly,Company,P22,true,false,false,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
account-recovery,Recovery Controls,Account,A3,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
account-session,Session Center,Account,A1,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
advanced-chart,Advanced Chart Studio,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
alert-center,Alert Rules,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
asset,Asset Dossier,Workspace,W1,true,false,false,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
asset-intelligence,Asset Intelligence,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
asset-rankings,Asset Rankings,Discover,W5,true,false,false,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
auth-login,Secure Login,Access,A1,true,false,true,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
auth-recovery,Recover Account,Access,A4,true,false,true,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
auth-register,Create Organization,Access,A1,true,false,true,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
categories,Categories,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
category-detail,Category Detail,Detail,W5,false,true,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
comparison-lab,Comparison Lab,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
converter,Converter,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
data-mesh,Provider Runtime,Control,W3,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
decision-provenance,Decision Provenance,Evidence,Scope A,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
delivery-operations,Delivery Operations,Operations,A3,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
dex-discovery,DEX Discovery,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
discovery-hub,Discovery Overview,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
event-calendar,Event Calendar,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
feature-universe,Feature Universe,Experience,P22,true,false,false,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
filing-workspace,Filing Workspace,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
formula-screener,Formula Screener,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
fundamentals-estimates,Fundamentals & Estimates,Intelligence,W6,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
global-charts,Global Charts,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
identity-access,Identity & Access,Control,W2,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
import-center,Import Center,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
instrument-master,Instrument Master,Control,W3,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
live-markets,Live Market Command,Live,P22,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
market,Market Overview,Intelligence,W1,true,false,false,Implemented Deterministically,DEMO,Static visual-preview route; backend/provider connectivity is not implied.
migration-center,Migration Center,Operations,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
news-research,News & Research,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
notification-center,Notifications,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
notification-schedules,Notification Schedules,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
observability,Observability Center,Operations,W4,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
onboarding,Guided Onboarding,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
passkey-center,Passkey Center,Account,A3,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
platform-readiness,Platform Readiness,Operations,A4,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
portfolio-analytics,Portfolio Analytics,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
portfolio-attribution,Portfolio Attribution,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
quarantine-review,Quarantine Review,Operations,A5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
rankings,Legacy Rankings,Intelligence,W1,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
research-article,Research Article,Detail,W5,false,true,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
research-history,Research History,Workspace,P21,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
research-workspace,Research Workspace,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
screener-lab,Screener Lab,Workspace,W7,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
search,Universal Search,Discover,W5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
secret-rotation,Secret Rotation,Security,A5,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
secure-import-vault,Secure Import Vault,Operations,A2,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
security-evidence,Security Evidence,Evidence,W2,false,false,false,Partial Prototype,UNAVAILABLE,"Route shell exists; authenticated, persistent or provider-backed behavior requires backend evidence."
