"index","route","label","domain","kind","section","public","purpose","data_contract","completion_criteria","current_status"
"1","#/auth-login","Secure Login","account","access","Access","true","Executable Secure Login access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"2","#/auth-register","Create Organization","account","access","Access","true","Executable Create Organization access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"3","#/auth-recovery","Recover Account","account","access","Access","true","Executable Recover Account access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"4","#/account-session","Profile & Security","account","access","Account","false","Executable Profile & Security access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"5","#/security-setup","MFA Setup","account","access","Account","false","Executable MFA Setup access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"6","#/passkey-center","Passkey Center","account","access","Account","false","Executable Passkey Center access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"7","#/account-recovery","Recovery Controls","account","access","Account","false","Executable Recovery Controls access route.","Identity and session services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"8","#/secure-import-vault","Secure Import Vault","operations","operational","Operations","false","Executable Secure Import Vault operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"9","#/delivery-operations","Delivery Operations","operations","operational","Operations","false","Executable Delivery Operations operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"10","#/platform-readiness","Platform Readiness","operations","operational","Operations","false","Executable Platform Readiness operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"11","#/secret-rotation","Secret Rotation","operations","operational","Security","false","Executable Secret Rotation operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"12","#/quarantine-review","Quarantine Review","operations","operational","Operations","false","Executable Quarantine Review operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"13","#/staging-assurance","Staging Assurance","operations","operational","Operations","false","Executable Staging Assurance operational route.","Identity, storage, scanner, worker, observability, delivery, or readiness services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"14","#/live-markets","Global Market Network","markets","analytical","Live","true","Executable Global Market Network analytical route.","Market, discovery, instrument, timeseries, or provider service as declared by the route contract.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"15","#/calculator-center","Quant Calculator Center","tools","analytical","Tools","true","Executable Quant Calculator Center analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"16","#/india-finance","India Finance & SIP","tools","analytical","Tools","true","Executable India Finance & SIP analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"17","#/indicator-library","Indicator Library","tools","analytical","Tools","true","Executable Indicator Library analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"18","#/formula-library","Formula Library","tools","analytical","Tools","true","Executable Formula Library analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"19","#/saved-calculations","Saved Calculations","tools","analytical","Tools","true","Executable Saved Calculations analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"20","#/formula-detail","Formula Detail","tools","analytical","Detail","true","Executable Formula Detail analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"21","#/indicator-detail","Indicator Detail","tools","analytical","Detail","true","Executable Indicator Detail analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"22","#/calculator-detail","Calculator Detail","tools","analytical","Detail","true","Executable Calculator Detail analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"23","#/saved-calculation-detail","Saved Calculation Detail","tools","analytical","Detail","true","Executable Saved Calculation Detail analytical route.","Deterministic local calculation, indicator, evidence, and optional authenticated persistence services.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"24","#/theme-personas","Theme Personas","experience","public-story","Experience","false","Executable Theme Personas public-story route.","Layout preference service; visual fallback remains local.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"25","#/feature-universe","Feature Universe","home","public-story","Experience","true","Executable Feature Universe public-story route.","Public content; optional read-only market service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
"26","#/about-qelly","About Qelly","home","public-story","Company","true","Executable About Qelly public-story route.","Public content; optional read-only market service.","Renders; exposes loading, empty, error, stale/fallback truth; keyboard and responsive behavior; source metadata where data appears.","executable-existing; governed-shell-migration-applied"
