"domain","capability","existing_evidence","gap","reference_principle","priority","next_batch"
"Foundation","Semantic token governance","Six themes; protected financial states; brand lock","Missing full light/dark/high-contrast semantic contract before this batch","Original Qelly governance","completed-now","Design foundations"
"Foundation","Page-shell differentiation","About and Feature Universe have distinct compositions","35 route modules use the same q-page shell and 238 panels","Editorial versus terminal task fit","completed-foundation; adoption-pending","Route-by-route migration"
"Navigation","Hybrid spatial navigation","Command bar, workspace switcher, rail, command palette, source drawer","No slim domain dock, contextual shelf, breadcrumbs, compare tray, or mobile bottom navigation before this batch","High-density product discoverability","completed-now","Design foundations"
"Personas","Six operating modes","Six named themes and persona page","Previously changed color more reliably than hierarchy, horizon, density, and alert posture","Original Qelly operating modes","completed-foundation; deeper-module-ordering-pending","Route migration"
"Truth","Source/freshness/confidence disclosure","Source inspector, table source cells, chart metadata","Ad hoc markup and inconsistent non-color encoding","Qelly evidence differentiation","completed-now","Design foundations"
"Preview","Static visual preview","Safe GitHub Pages build, deterministic demo market routes, mutation rejection","Decision Provenance was not available in the static preview","Qelly evidence differentiation","completed-now","Design foundations"
"Markets","Market overview","Public overview, chart, breadth heat cells, asset table","Limited pulse breadth, saved views, advanced table controls, and cross-asset coverage","CoinMarketCap breadth + CoinGlass density","high","Market overview"
"Discovery","Asset and venue discovery","Rankings, categories, venues, DEX, global charts, converter, news/research","Trending, gainers/losers, narratives, unusual volume/OI, institutional flows incomplete","CoinMarketCap discovery utility","high","Market overview"
"Asset","Asset dossier","Public asset, asset intelligence, chart, fundamentals, filings, events, comparison","Sticky complete identity, anchored domains, derivatives/options/liquidity/on-chain/institutional depth incomplete","Asset-detail utility","high","Asset intelligence"
"Derivatives","Open interest","No complete domain route or normalized API contract","OI asset/exchange/history/divergence/heatmap/concentration/provider comparison absent","CoinGlass derivatives depth","critical-after-contracts","Derivatives contracts"
"Derivatives","Funding rates","No complete domain route or normalized API contract","Current/predicted/weighted/accumulated/arbitrage/history absent","CoinGlass derivatives depth","critical-after-contracts","Derivatives contracts"
"Derivatives","Liquidations","No complete domain route or normalized API contract","Summaries, tape, clusters, methodologies, and heatmaps absent","CoinGlass derivatives depth","critical-after-contracts","Derivatives contracts"
"Derivatives","Positioning and basis","No complete domain route or normalized API contract","Long/short, top trader, crowding, term structure, cash-and-carry absent","CoinGlass derivatives depth","high-after-contracts","Derivatives contracts"
"Options","Options intelligence","No complete options domain contract","Volume, OI, put/call, expiries, IV, skew, Greeks, scenarios absent","Derivatives research utility","high-after-contracts","Derivatives contracts"
"Research","Editorial research hub","News/research routes, research workspaces, filings, version history","Citation explorer, contradiction, source quality, public methodology story incomplete","WorldQuant editorial discipline","high","Research and AI governance"
"AI","Explain This Move","Evidence graph creation API and Decision Provenance route","Chart-region binding, governed answer display, provider disagreement, model identity incomplete","Original Qelly evidence-led AI","high","Research and AI governance"
"Provenance","Decision Provenance","Persisted typed nodes/edges, integrity, traversal, accessible list, export","Visual canvas, filters/timeline, chart-region integration, review/outcomes need expansion","Original Qelly differentiator","high","Provenance expansion"
"Portfolio","Portfolio/workspaces","Portfolio overview/holdings/performance/risk/attribution, watchlists, alerts, screens","Scenarios, exposure breadth, persistent compare tray, provenance for every insight incomplete","Professional workspace utility","medium-high","Portfolio/workspaces"
"Public","Cinematic public story","About and Feature Universe; burgundy motion layer","Complete Home/Product/Methodology/Trust/Security/Provider story and scroll-led narrative incomplete","WorldQuant narrative principle","high","Public story and trust"
"Figma","Editable design handoff","Previous handoff documentation only","Generator absent and obsolete 282-frame claim before this batch","Governed design delivery","completed-now","Design foundations"
"Backend","Normalized governed data domains","187 APIs, 65 schemas, 17 contracts, provider runtime, timeseries, evidence","Derivatives/options/flow schemas, persistence, adapters, migrations, and licensed data absent","Qelly production integrity","critical","Backend/provider expansion"
"Accessibility","WCAG 2.2 AA target","Skip link, keyboard primitives, focus, reduced motion, historical browser checks","Current-head real-browser, screen-reader, zoom, Firefox, and WebKit validation pending","Inclusive product quality","high","Accessibility/performance"
"Performance","Measured budgets","Dependency-light frontend and fixed chart dimensions","Route code splitting, virtualization, LCP/CLS/INP and memory/CPU budgets incomplete","Fast analytical workflow","medium-high","Accessibility/performance"
