action_id,route_module,line,control_type,label,action_token,event_handler_status,backend_calls,state_mutation,persistence,success_state,error_state,audit_event,accessibility_name,risk,source_commit
ACTION-0001,apps/web/public/assets/theme-intelligence-visual-correction-data.mjs,20,button,Active,Active,DEAD_OR_DECORATIVE,,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Active,dead/decorative action,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0002,apps/web/public/assets/app.js,198,button,${item.icon} ${escapeHtml(item.label)} ${staticVisualPreview?'STATIC':item.public===true?'PUBLIC':''},${item.icon} ${escapeHtml(item.label)} ${staticVisualPreview?'STATIC':item.public===true?'PUBLIC':''},HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,${item.icon} ${escapeHtml(item.label)} ${staticVisualPreview?'STATIC':item.public===true?'PUBLIC':''},route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0003,apps/web/public/assets/app.js,463,button,Source inspector,inspect-market,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Source inspector,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0004,apps/web/public/assets/app.js,463,button,Provider coverage,open-providers,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Provider coverage,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0005,apps/web/public/assets/app.js,463,button,Explore assets,open-rankings,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Explore assets,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0006,apps/web/public/assets/app.js,465,button,"=0?'positive':'negative'}"" data-public-asset=""${escapeAttribute(item.canonicalId)}""> ${escapeHtml(item.symbol)} =0?'is-positive':'is-negativ","=0?'positive':'negative'}"" data-public-asset=""${escapeAttribute(item.canonicalId)}""> ${escapeHtml(item.symbol)} =0?'is-positive':'is-negativ",DEAD_OR_DECORATIVE,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,"=0?'positive':'negative'}"" data-public-asset=""${escapeAttribute(item.canonicalId)}""> ${escapeHtml(item.symbol)} =0?'is-positive':'is-negativ",dead/decorative action,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0007,apps/web/public/assets/app.js,483,button,Reset,reset-filters,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Reset,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0008,apps/web/public/assets/app.js,483,button,Export evidence,export,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Export evidence,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0009,apps/web/public/assets/app.js,498,button,Save search,save-search,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Save search,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
ACTION-0010,apps/web/public/assets/app.js,498,button,Discovery contract,open-contract,HANDLER_BOUND,/api/v1/access/evaluate | /api/v1/audit/verify | /api/v1/audit?limit=30 | /api/v1/auth/step-up/simulate | /api/v1/config | /api/v1/contracts/${name} | /api/v1/contracts/entitlements | /api/v1/data-quality/incidents,client DOM/navigation or API response; inspect source,unknown unless endpoint/store proves it,route-specific,route-specific or toast,not consistently implemented,Discovery contract,route-specific end-to-end proof incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
