"route","label","domain","frame_id","page","viewport","state","implementation_route_file","mapping_status"
"#/auth-login","Secure Login","account","QF-0026","01 — Cover and product principles","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/auth-login","Secure Login","account","QF-0027","01 — Cover and product principles","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/auth-register","Create Organization","account","QF-0028","01 — Cover and product principles","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/auth-register","Create Organization","account","QF-0029","01 — Cover and product principles","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/auth-recovery","Recover Account","account","QF-0030","24 — States and edge cases","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/auth-recovery","Recover Account","account","QF-0031","24 — States and edge cases","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/account-session","Session Center","account","QF-0032","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/account-session","Session Center","account","QF-0033","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/security-setup","MFA Setup","account","QF-0034","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/security-setup","MFA Setup","account","QF-0035","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/passkey-center","Passkey Center","account","QF-0036","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/passkey-center","Passkey Center","account","QF-0037","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/account-recovery","Recovery Controls","account","QF-0038","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/account-recovery","Recovery Controls","account","QF-0039","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/secure-import-vault","Secure Import Vault","operations","QF-0040","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/secure-import-vault","Secure Import Vault","operations","QF-0041","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/delivery-operations","Delivery Operations","operations","QF-0042","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/delivery-operations","Delivery Operations","operations","QF-0043","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/platform-readiness","Platform Readiness","operations","QF-0044","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/platform-readiness","Platform Readiness","operations","QF-0045","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/secret-rotation","Secret Rotation","operations","QF-0046","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/secret-rotation","Secret Rotation","operations","QF-0047","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/quarantine-review","Quarantine Review","operations","QF-0048","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/quarantine-review","Quarantine Review","operations","QF-0049","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/staging-assurance","Staging Assurance","operations","QF-0050","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/staging-assurance","Staging Assurance","operations","QF-0051","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/live-markets","Live Market Command","markets","QF-0052","22 — Operations","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/live-markets","Live Market Command","markets","QF-0053","22 — Operations","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/calculator-center","Quant Calculator Center","tools","QF-0054","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/calculator-center.mjs","MATCHED"
"#/calculator-center","Quant Calculator Center","tools","QF-0055","22 — Operations","mobile-390","default","apps/web/public/assets/routes/calculator-center.mjs","MATCHED"
"#/india-finance","India Finance & SIP","tools","QF-0056","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/india-finance.mjs","MATCHED"
"#/india-finance","India Finance & SIP","tools","QF-0057","22 — Operations","mobile-390","default","apps/web/public/assets/routes/india-finance.mjs","MATCHED"
"#/indicator-library","Indicator Library","tools","QF-0058","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/indicator-library.mjs","MATCHED"
"#/indicator-library","Indicator Library","tools","QF-0059","22 — Operations","mobile-390","default","apps/web/public/assets/routes/indicator-library.mjs","MATCHED"
"#/formula-library","Formula Library","tools","QF-0060","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/formula-library.mjs","MATCHED"
"#/formula-library","Formula Library","tools","QF-0061","22 — Operations","mobile-390","default","apps/web/public/assets/routes/formula-library.mjs","MATCHED"
"#/saved-calculations","Saved Calculations","tools","QF-0062","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/saved-calculations.mjs","MATCHED"
"#/saved-calculations","Saved Calculations","tools","QF-0063","22 — Operations","mobile-390","default","apps/web/public/assets/routes/saved-calculations.mjs","MATCHED"
"#/formula-detail","Formula Detail","tools","QF-0064","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/formula-detail.mjs","MATCHED"
"#/formula-detail","Formula Detail","tools","QF-0065","22 — Operations","mobile-390","default","apps/web/public/assets/routes/formula-detail.mjs","MATCHED"
"#/indicator-detail","Indicator Detail","tools","QF-0066","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/indicator-detail.mjs","MATCHED"
"#/indicator-detail","Indicator Detail","tools","QF-0067","22 — Operations","mobile-390","default","apps/web/public/assets/routes/indicator-detail.mjs","MATCHED"
"#/calculator-detail","Calculator Detail","tools","QF-0068","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/calculator-detail.mjs","MATCHED"
"#/calculator-detail","Calculator Detail","tools","QF-0069","22 — Operations","mobile-390","default","apps/web/public/assets/routes/calculator-detail.mjs","MATCHED"
"#/saved-calculation-detail","Saved Calculation Detail","tools","QF-0070","22 — Operations","desktop-1440","default","apps/web/public/assets/routes/saved-calculation-detail.mjs","MATCHED"
"#/saved-calculation-detail","Saved Calculation Detail","tools","QF-0071","22 — Operations","mobile-390","default","apps/web/public/assets/routes/saved-calculation-detail.mjs","MATCHED"
"#/theme-personas","Theme Personas","experience","QF-0072","14 — Persona system","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/theme-personas","Theme Personas","experience","QF-0073","14 — Persona system","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/feature-universe","Feature Universe","home","QF-0074","16 — Public storytelling","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/feature-universe","Feature Universe","home","QF-0075","16 — Public storytelling","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
"#/about-qelly","About Qelly","home","QF-0076","23 — Trust and company","desktop-1440","default","apps/web/public/assets/app.js","MATCHED"
"#/about-qelly","About Qelly","home","QF-0077","23 — Trust and company","mobile-390","default","apps/web/public/assets/app.js","MATCHED"
