"stable_id","name","category","version","implementation_version","created_at","aliases","required_fields","optional_fields","parameters","warmup","missing_value_behavior","input_ordering","output_alignment","complexity","streaming_feasible","reference_method","reference_vector_status","property_test_status","fuzz_status","parity_status","performance_status","security_status","product_truth","detail_route","provenance_status"
"fresh-dema","Double Exponential Moving Average","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-dema","FRESH_REIMPLEMENTATION_2026"
"fresh-tema","Triple Exponential Moving Average","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-tema","FRESH_REIMPLEMENTATION_2026"
"fresh-hull-moving-average","Hull Moving Average","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-hull-moving-average","FRESH_REIMPLEMENTATION_2026"
"fresh-zero-lag-ema","Zero-Lag EMA","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-zero-lag-ema","FRESH_REIMPLEMENTATION_2026"
"fresh-kaufman-adaptive-moving-average","Kaufman Adaptive Moving Average","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-kaufman-adaptive-moving-average","FRESH_REIMPLEMENTATION_2026"
"fresh-moving-average-slope","Moving Average Slope","trend","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-moving-average-slope","FRESH_REIMPLEMENTATION_2026"
"fresh-price-momentum","Price Momentum","momentum","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-price-momentum","FRESH_REIMPLEMENTATION_2026"
"fresh-williams-percent-r","Williams Percent R","oscillators","2.0.0","fresh-2026.1","2026-07-30","","high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-williams-percent-r","FRESH_REIMPLEMENTATION_2026"
"fresh-detrended-price-oscillator","Detrended Price Oscillator","oscillators","2.0.0","fresh-2026.1","2026-07-30","","close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-detrended-price-oscillator","FRESH_REIMPLEMENTATION_2026"
"fresh-fisher-transform","Fisher Transform","oscillators","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-fisher-transform","FRESH_REIMPLEMENTATION_2026"
"fresh-relative-vigor-index","Relative Vigor Index","momentum","2.0.0","fresh-2026.1","2026-07-30","","open|high|low|close","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-relative-vigor-index","FRESH_REIMPLEMENTATION_2026"
"fresh-rolling-range","Rolling Price Range","volatility","2.0.0","fresh-2026.1","2026-07-30","","high|low","period|annualization|multiplier","{""period"":14}","parameter-dependent","null until warm-up; invalid non-finite inputs rejected","oldest-to-newest; no silent sorting","all series outputs have the same length as input","O(n * period) bounded; 10,000-point performance tested","true","Standard published technical-analysis or descriptive-statistics definition.","PRIMARY_VECTOR_DEFINED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","REQUIRED","FRESH_REIMPLEMENTATION_2026","indicator-detail/fresh-rolling-range","FRESH_REIMPLEMENTATION_2026"
