entity_id,table,migration,line,columns,tenant_key,append_only,soft_delete,status,duplicate_or_legacy_group,risk,source_commit
DB-001,migration_ledger,packages/migrations/001_foundation.sql,2,migration_id|checksum|applied_at|applied_by,none,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-002,organizations,packages/migrations/001_foundation.sql,8,organization_id|name|status|created_at,organization_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,organization,legacy/parallel schema requires migration ownership decision,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-003,workspaces,packages/migrations/001_foundation.sql,14,workspace_id|organization_id|name|status|created_at,workspace_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,workspace,legacy/parallel schema requires migration ownership decision,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-004,workspace_objects,packages/migrations/002_workspace_state.sql,2,object_id|organization_id|workspace_id|user_id|object_type|revision|payload|created_at|updated_at,organization_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-005,qelly_migration_history,packages/migrations/100_release_a1_production_foundation.sql,5,migration_id|checksum|applied_at|runtime,none,yes,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-006,qelly_users,packages/migrations/100_release_a1_production_foundation.sql,12,user_id|email|password_hash|display_name|email_verified|status|locale|timezone|base_currency|created_at|updated_at|revision,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-007,qelly_organizations,packages/migrations/100_release_a1_production_foundation.sql,27,organization_id|name|slug|status|created_at|updated_at|revision,organization_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,organization,legacy/parallel schema requires migration ownership decision,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-008,qelly_workspaces,packages/migrations/100_release_a1_production_foundation.sql,37,workspace_id|organization_id|name|slug|environment|risk_tier|status|created_at|updated_at|revision,workspace_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,workspace,legacy/parallel schema requires migration ownership decision,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-009,qelly_memberships,packages/migrations/100_release_a1_production_foundation.sql,51,membership_id|user_id|organization_id|roles_json|workspace_ids_json|status|created_at|updated_at|revision,organization_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-010,qelly_sessions,packages/migrations/100_release_a1_production_foundation.sql,64,session_id|token_hash|csrf_hash|user_id|organization_id|workspace_id|assurance|authentication_method|user_agent|ip_hash|created_at|last_seen_at|expires_at|step_up_expires_at|rotated_from_session_id|revoked_at|revocation_reason|revision,organization_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-011,qelly_jobs,packages/migrations/100_release_a1_production_foundation.sql,87,job_id|tenant_id|workspace_id|job_type|payload_json|status|attempts|max_attempts|available_at|locked_at|locked_by|completed_at|failed_at|last_error|idempotency_key|created_at|updated_at,tenant_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-012,qelly_notifications,packages/migrations/100_release_a1_production_foundation.sql,110,notification_id|user_id|tenant_id|workspace_id|kind|title|body|source_job_id|read_at|created_at,tenant_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-013,mfa_factors,packages/migrations/101_release_a2_identity_import_delivery.sql,2,user_id,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-014,secure_imports,packages/migrations/101_release_a2_identity_import_delivery.sql,3,import_id,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-015,delivery_attempts,packages/migrations/101_release_a2_identity_import_delivery.sql,4,delivery_id,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-016,qelly_mfa_factors,packages/migrations/102_release_a3_passkeys_storage_delivery.sql,2,user_id|secret_encrypted|status|recovery_codes_hashes|recovery_codes_remaining|created_at|updated_at,none,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,missing tenant key review,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-017,qelly_secure_imports,packages/migrations/102_release_a3_passkeys_storage_delivery.sql,11,import_id|user_id|tenant_id|workspace_id|object_key|file_name|mime_type|size|sha256|status|created_at,tenant_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
DB-018,qelly_delivery_attempts,packages/migrations/102_release_a3_passkeys_storage_delivery.sql,25,delivery_id|user_id|tenant_id|workspace_id|channel|destination|title|body|source_job_id|status|provider|created_at,tenant_id,not-proven,no/not-proven,IMPLEMENTED_DETERMINISTIC_LOCAL,,,eafb11719e67135c7a6fa3b15e1170c5192e4771
