license_id,provider_id,provider,official_source_verified,terms_verified,pricing_verified,attribution_verified,caching_verified,redistribution_verified,derived_data_rights_verified,commercial_use_verified,geographic_regulatory_review,current_decision,last_verified,notes
LIC-QELLY-STATIC-DEMO,qelly-static-demo,Qelly deterministic demo,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_CORE,2026-07-29T15:49:53+05:30,qelly-authored; explicit DEMO/SIMULATED label required
LIC-QELLY-FIXTURE-PRIMARY,qelly-fixture-primary,Qelly fixture primary,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,development only
LIC-QELLY-FIXTURE-SECONDARY,qelly-fixture-secondary,Qelly fixture secondary,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,development only
LIC-QELLY-FIXTURE-VALIDATION,qelly-fixture-validation,Qelly fixture validation,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,development only
LIC-BINANCE-PUBLIC,binance-public,Binance Spot Market Data,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_LICENSE,2026-07-29T15:49:53+05:30,Official API documented; technical endpoint implemented but live mode disabled by default. Redistribution/commercial/geographic review not complete.
LIC-COINDCX-PUBLIC,coindcx-public,CoinDCX Public Market Data,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_LICENSE,2026-07-29T15:49:53+05:30,Official candle endpoint documented; terms/redistribution/geographic review incomplete.
LIC-COINGECKO,coingecko,CoinGecko API,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,REQUIRES_LICENSE,2026-07-29T15:49:53+05:30,"Official Demo/Pro documentation exists; production plan, attribution, cache and redistribution review required."
LIC-COINBASE-EXCHANGE-PUBLIC,coinbase-exchange-public,Coinbase Exchange Market Data,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_PROVIDER_TERMS,2026-07-29T15:49:53+05:30,Official public market data documented and market-data terms apply.
LIC-KRAKEN-PUBLIC,kraken-public,Kraken Spot Market Data,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,BLOCKED_PROVIDER_TERMS,2026-07-29T15:49:53+05:30,Official API center verified; exact terms/redistribution review incomplete.
LIC-OPENFIGI-V3,openfigi-v3,OpenFIGI v3,yes/partial,partial unless Qelly-authored,partial,partial,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,no unless Qelly-authored,required for financial providers,APPROVED_OPTIONAL,2026-07-29T15:49:53+05:30,"Official docs: public/free, lower unauthenticated rate limits; v2 retired July 1 2026; v3 required."
