event_worker_id,type,name,source_file,trigger,payload_validation,retry,dead_letter,idempotency,ordering,observability,status,risk,source_commit
EW-001,job,notification.digest,apps/worker/worker.mjs,queue reserve,manual field checks; schema coverage incomplete,exponential jitter; repository attempts,Redis dead list/database dead status,job id and repository controls; delivery semantics require deeper proof,queue order only; cross-worker ordering not guaranteed,local logs and audit ledger,PARTIAL,production delivery provider and alert ownership incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-002,job,notification.email,apps/worker/worker.mjs,queue reserve,manual field checks; schema coverage incomplete,exponential jitter; repository attempts,Redis dead list/database dead status,job id and repository controls; delivery semantics require deeper proof,queue order only; cross-worker ordering not guaranteed,local logs and audit ledger,PARTIAL,production delivery provider and alert ownership incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-003,job,notification.inapp,apps/worker/worker.mjs,queue reserve,manual field checks; schema coverage incomplete,exponential jitter; repository attempts,Redis dead list/database dead status,job id and repository controls; delivery semantics require deeper proof,queue order only; cross-worker ordering not guaranteed,local logs and audit ledger,PARTIAL,production delivery provider and alert ownership incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-004,job,notification.webhook,apps/worker/worker.mjs,queue reserve,manual field checks; schema coverage incomplete,exponential jitter; repository attempts,Redis dead list/database dead status,job id and repository controls; delivery semantics require deeper proof,queue order only; cross-worker ordering not guaranteed,local logs and audit ledger,PARTIAL,production delivery provider and alert ownership incomplete,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-005,local-stream-channel,quotes,src/streaming/stream-gateway.mjs,local publish/API replay,quality engine; no external stream schema proof,not applicable/local journal,none,event IDs; duplicate suppression incomplete,per-channel sequence,local metrics,MOCK,not a connected WebSocket/SSE production stream,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-006,local-stream-channel,candles,src/streaming/stream-gateway.mjs,local publish/API replay,quality engine; no external stream schema proof,not applicable/local journal,none,event IDs; duplicate suppression incomplete,per-channel sequence,local metrics,MOCK,not a connected WebSocket/SSE production stream,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-007,local-stream-channel,provider-health,src/streaming/stream-gateway.mjs,local publish/API replay,quality engine; no external stream schema proof,not applicable/local journal,none,event IDs; duplicate suppression incomplete,per-channel sequence,local metrics,PARTIAL,not a connected WebSocket/SSE production stream,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-008,local-stream-channel,operations,src/streaming/stream-gateway.mjs,local publish/API replay,quality engine; no external stream schema proof,not applicable/local journal,none,event IDs; duplicate suppression incomplete,per-channel sequence,local metrics,PARTIAL,not a connected WebSocket/SSE production stream,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-009,github-workflow,ci,.github/workflows/ci.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
EW-010,github-workflow,codeql,.github/workflows/codeql.yml,GitHub Actions,workflow inputs/events,GitHub/manual rerun,none,workflow-specific,concurrency policy where configured,GitHub Actions,PARTIAL,not application production scheduler,eafb11719e67135c7a6fa3b15e1170c5192e4771
