route_id,route,release,status
R001,"auth-login",23.0.0,implemented-or-inherited
R002,"auth-register",23.0.0,implemented-or-inherited
R003,"account-session",23.0.0,implemented-or-inherited
R004,"market",23.0.0,implemented-or-inherited
R005,"rankings",23.0.0,implemented-or-inherited
R006,"search",23.0.0,implemented-or-inherited
R007,"asset",23.0.0,implemented-or-inherited
R008,"watchlist",23.0.0,implemented-or-inherited
R009,"theme-lab",23.0.0,implemented-or-inherited
R010,"identity-access",23.0.0,implemented-or-inherited
R011,"data-mesh",23.0.0,implemented-or-inherited
R012,"instrument-master",23.0.0,implemented-or-inherited
R013,"timeseries-lab",23.0.0,implemented-or-inherited
R014,"stream-operations",23.0.0,implemented-or-inherited
R015,"observability",23.0.0,implemented-or-inherited
R016,"security-evidence",23.0.0,implemented-or-inherited
R017,"discovery-hub",23.0.0,implemented-or-inherited
R018,"asset-rankings",23.0.0,implemented-or-inherited
R019,"categories",23.0.0,implemented-or-inherited
R020,"category-detail",23.0.0,implemented-or-inherited
R021,"venues",23.0.0,implemented-or-inherited
R022,"venue-detail",23.0.0,implemented-or-inherited
R023,"dex-discovery",23.0.0,implemented-or-inherited
R024,"global-charts",23.0.0,implemented-or-inherited
R025,"converter",23.0.0,implemented-or-inherited
R026,"news-research",23.0.0,implemented-or-inherited
R027,"research-article",23.0.0,implemented-or-inherited
R028,"trust-center",23.0.0,implemented-or-inherited
R029,"asset-intelligence",23.0.0,implemented-or-inherited
R030,"advanced-chart",23.0.0,implemented-or-inherited
R031,"fundamentals-estimates",23.0.0,implemented-or-inherited
R032,"filing-workspace",23.0.0,implemented-or-inherited
R033,"event-calendar",23.0.0,implemented-or-inherited
R034,"comparison-lab",23.0.0,implemented-or-inherited
R035,"alert-center",23.0.0,implemented-or-inherited
R036,"notification-center",23.0.0,implemented-or-inherited
R037,"screener-lab",23.0.0,implemented-or-inherited
R038,"portfolio-analytics",23.0.0,implemented-or-inherited
R039,"research-workspace",23.0.0,implemented-or-inherited
R040,"onboarding",23.0.0,implemented-or-inherited
R041,"notification-schedules",23.0.0,implemented-or-inherited
R042,"formula-screener",23.0.0,implemented-or-inherited
R043,"portfolio-attribution",23.0.0,implemented-or-inherited
R044,"import-center",23.0.0,implemented-or-inherited
R045,"research-history",23.0.0,implemented-or-inherited
R046,"migration-center",23.0.0,implemented-or-inherited
R047,"live-markets",23.0.0,implemented-or-inherited
R048,"theme-personas",23.0.0,implemented-or-inherited
R049,"about-qelly",23.0.0,implemented-or-inherited
R050,"feature-universe",23.0.0,implemented-or-inherited
