"component","states","keyboard_behavior","mobile_behavior","implementation_status"
"Button","default hover active pressed focus selected loading disabled error warning success","Enter/Space","full-width option","foundation-contract; route adoption incremental"
"Icon button","default hover active pressed focus selected loading disabled","Enter/Space; accessible name required","44px touch target","foundation-contract; route adoption incremental"
"Split button","default hover focus expanded disabled","Arrow keys and Enter","menu becomes sheet","foundation-contract; route adoption incremental"
"Segmented control","default hover focus selected disabled","Arrow keys","horizontal scroll","foundation-contract; route adoption incremental"
"Tabs","default hover focus selected disabled","Arrow keys Home End","scrollable tab rail","foundation-contract; route adoption incremental"
"Filter chip","default hover focus selected disabled","Enter/Space/Delete","wrap or horizontal rail","foundation-contract; route adoption incremental"
"Status indicator","live delayed estimated derived demo fallback stale unavailable","read-only semantics","never color-only","foundation-contract; route adoption incremental"
"Text field","default hover focus filled error disabled","native editing","full width","foundation-contract; route adoption incremental"
"Combobox","closed open loading no-results error disabled","Arrow keys Enter Escape","sheet on narrow screens","foundation-contract; route adoption incremental"
"Date/time selector","default focus invalid disabled","native or roving grid","modal sheet","foundation-contract; route adoption incremental"
"Asset selector","default open loading no-results permission","search and arrows","full-screen search","foundation-contract; route adoption incremental"
"Range selector","default hover focus selected disabled","Arrow keys","touch-safe presets","foundation-contract; route adoption incremental"
"Slider","default focus disabled error","Arrow keys Home End","large thumb","foundation-contract; route adoption incremental"
"Switch","on off focus disabled","Space","label remains visible","foundation-contract; route adoption incremental"
"Checkbox","checked mixed unchecked focus disabled","Space","44px label target","foundation-contract; route adoption incremental"
"Radio group","default selected focus disabled","Arrow keys","stacked","foundation-contract; route adoption incremental"
"Tooltip","hidden visible focus-triggered","Escape","popover alternative","foundation-contract; route adoption incremental"
"Popover","closed open loading error","Escape focus return","drawer alternative","foundation-contract; route adoption incremental"
"Menu","closed open selected disabled","Arrow keys typeahead Escape","sheet alternative","foundation-contract; route adoption incremental"
"Drawer","closed opening open error","Escape focus trap","full height","foundation-contract; route adoption incremental"
"Modal","closed open loading error","Escape focus trap","full-screen option","foundation-contract; route adoption incremental"
"Command palette","closed open results empty error","Ctrl/Cmd+K arrows Enter Escape","full-screen","foundation-contract; route adoption incremental"
"Toast","neutral success warning error","dismiss button","bottom safe area","foundation-contract; route adoption incremental"
"Inline notice","info warning error success demo","read in document order","stacked","foundation-contract; route adoption incremental"
"Banner","live delayed stale fallback demo unavailable","landmark where persistent","wraps","foundation-contract; route adoption incremental"
"Breadcrumbs","default current overflow","links and buttons","collapses safely","foundation-contract; route adoption incremental"
"Pagination","default current disabled loading","Tab Enter","compact controls","foundation-contract; route adoption incremental"
"Data table","loading empty no-results partial stale fallback error","table semantics and sort controls","priority cards/horizontal grid","foundation-contract; route adoption incremental"
"Column customizer","closed open selected disabled","checkboxes and search","sheet","foundation-contract; route adoption incremental"
"Density selector","comfortable compact terminal","radio/segmented","compact menu","foundation-contract; route adoption incremental"
"Chart toolbar","default selected disabled unavailable","roving controls","scrollable rail","foundation-contract; route adoption incremental"
"Evidence panel","loading empty partial stale fallback error","tree/list navigation","drawer","foundation-contract; route adoption incremental"
"Provenance inspector","graph list loading orphan error","keyboard graph plus list","list first","foundation-contract; route adoption incremental"
"Source tooltip","live delayed stale fallback unavailable","focus-triggered","inline disclosure","foundation-contract; route adoption incremental"
"Confidence indicator","high medium low unavailable","read-only label","text plus progress","foundation-contract; route adoption incremental"
"Freshness indicator","live delayed stale fallback unavailable","read-only label","icon plus text","foundation-contract; route adoption incremental"
"Provider status","operational partial degraded unavailable","read-only disclosure","stacked","foundation-contract; route adoption incremental"
"Skeleton","first-load incremental fixed-size","aria-busy on owner","fixed dimensions","foundation-contract; route adoption incremental"
"Empty state","first-use no-results filtered permission","recovery action","prioritised copy","foundation-contract; route adoption incremental"
"Maintenance state","planned unplanned offline","status and retry","full-route fallback","foundation-contract; route adoption incremental"
