provider_id,provider_name,official_legal_entity,purpose,exact_base_url,endpoint_or_stream,documentation_url,terms_url,pricing_url,status_page,authentication_type,required_scope,free_tier_limits,rate_limits,cors_behavior,browser_or_server,data_fields,asset_classes,markets_regions,latency_freshness,cache_policy,licensing_attribution_redistribution,fallback,implementation_status,conformance_classification,owner,last_verified,schema_status,correctness_status,production_eligibility,recommended_action,source_commit
qelly-static-demo,Qelly deterministic demo,Qelly-authored,deterministic fixtures/static preview,local://qelly-demo,none,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,qelly-authored; explicit DEMO/SIMULATED label required,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,IMPLEMENTED_DETERMINISTIC_LOCAL,APPROVED_CORE,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,limited,No silent replacement for failed live providers.,eafb11719e67135c7a6fa3b15e1170c5192e4771
qelly-fixture-primary,Qelly fixture primary,Qelly-authored,development search/quote/timeseries/reference,local://fixture-primary,none,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,development only,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,MOCK,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Never label live.,eafb11719e67135c7a6fa3b15e1170c5192e4771
qelly-fixture-secondary,Qelly fixture secondary,Qelly-authored,fallback/disagreement tests,local://fixture-secondary,none,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,development only,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,MOCK,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Never label live.,eafb11719e67135c7a6fa3b15e1170c5192e4771
qelly-fixture-validation,Qelly fixture validation,Qelly-authored,schema and quality validation,local://fixture-validation,none,,current official terms/legal review required,current official pricing review required,,NONE,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,development only,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,MOCK,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Never label live.,eafb11719e67135c7a6fa3b15e1170c5192e4771
binance-public,Binance Spot Market Data,Binance,public crypto candles/ticker/WebSocket,https://data-api.binance.vision,/api/v3/klines|/api/v3/ticker/24hr,,current official terms/legal review required,current official pricing review required,,NONE for public market endpoints,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official API documented; technical endpoint implemented but live mode disabled by default. Redistribution/commercial/geographic review not complete.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PARTIAL,BLOCKED_LICENSE,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,No fixture may be returned as live; server-side REST and governed WebSocket adapter required.,eafb11719e67135c7a6fa3b15e1170c5192e4771
coindcx-public,CoinDCX Public Market Data,CoinDCX,public crypto candles/ticker,https://public.coindcx.com,/market_data/candles,,current official terms/legal review required,current official pricing review required,,NONE for public market endpoint,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official candle endpoint documented; terms/redistribution/geographic review incomplete.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PARTIAL,BLOCKED_LICENSE,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Keep disabled until legal and schema conformance pass.,eafb11719e67135c7a6fa3b15e1170c5192e4771
coingecko,CoinGecko API,CoinGecko,crypto reference/market data,https://api.coingecko.com,/api/v3,,current official terms/legal review required,current official pricing review required,,DEMO/PRO API key for intended use,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official Demo/Pro documentation exists; production plan, attribution, cache and redistribution review required.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,REQUIRES_LICENSE,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,"Optional reference provider, not silent fallback.",eafb11719e67135c7a6fa3b15e1170c5192e4771
coinbase-exchange-public,Coinbase Exchange Market Data,Coinbase,public spot REST/WebSocket market data,https://api.exchange.coinbase.com,public products/books/candles; ws-feed,,current official terms/legal review required,current official pricing review required,,NONE for public market data,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official public market data documented and market-data terms apply.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,BLOCKED_PROVIDER_TERMS,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Candidate optional/core after legal and schema review.,eafb11719e67135c7a6fa3b15e1170c5192e4771
kraken-public,Kraken Spot Market Data,Payward/Kraken,public spot REST/WebSocket market data,https://api.kraken.com,/0/public/*,,current official terms/legal review required,current official pricing review required,,NONE for public endpoints,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,Official API center verified; exact terms/redistribution review incomplete.,explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,BLOCKED_PROVIDER_TERMS,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Candidate optional provider.,eafb11719e67135c7a6fa3b15e1170c5192e4771
openfigi-v3,OpenFIGI v3,Bloomberg Finance L.P.,identifier mapping,https://api.openfigi.com,/v3/mapping|/v3/search,,current official terms/legal review required,current official pricing review required,,optional API key for higher limit,read-only/least privilege where applicable,see official docs; not assumed unlimited,recorded where official docs expose them; implementation must honor headers,server-side required unless explicitly verified browser-safe,server by default; wallet SDKs browser with user approval,provider-specific,provider-specific,provider-specific,provider-specific; must be measured,provider/license-specific,"Official docs: public/free, lower unauthenticated rate limits; v2 retired July 1 2026; v3 required.",explicit UNAVAILABLE/STALE or deterministic DEMO; never silent live fixture,PLANNED,APPROVED_OPTIONAL,unassigned,2026-07-29T15:49:53+05:30,not fully conformed unless Qelly-local,not cross-checked for production,no,Use v3 only and preserve attribution/terms.,eafb11719e67135c7a6fa3b15e1170c5192e4771
