matrix_id,source_run,exact_head,route,action_state,browser,viewport,theme_request,motion,authentication,expected_truth,result,first_failure,console_errors,page_errors,failed_resources,horizontal_overflow_px,notes
OLD-0001,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,360x800,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0002,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,360x800,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0003,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,360x800,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0004,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,360x800,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0005,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,360x800,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0006,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,360x800,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0007,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,360x800,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0008,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,360x800,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0009,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,360x800,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0010,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,360x800,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0011,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,360x800,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0012,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,360x800,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0013,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,360x800,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0014,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,360x800,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0015,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,360x800,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0016,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,360x800,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0017,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,360x800,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0018,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,360x800,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0019,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,360x800,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0020,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,360x800,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0021,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,390x844,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0022,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,390x844,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0023,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,390x844,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0024,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,390x844,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0025,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,390x844,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0026,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,390x844,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0027,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,390x844,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0028,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,390x844,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0029,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,390x844,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0030,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,390x844,light,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0031,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,390x844,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0032,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,390x844,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0033,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,390x844,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0034,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,390x844,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0035,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,390x844,oled,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0036,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,390x844,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0037,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,initial India finance truth/unavailable-rule state,chromium,390x844,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0038,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,valid indicator calculation after route render,chromium,390x844,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:15,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0039,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,initial formula catalogue state,chromium,390x844,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:19,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0040,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,initial/empty local-persistence state,chromium,390x844,high-contrast,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:18,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
OLD-0041,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,valid calculation after route render,chromium,430x932,dark,reduced,anonymous static preview,deterministic/local or unavailable; never live,BLOCKED_BY_HARNESS_DEFECT,fixed-nav-overlap:16,0,0,0,0,Old five-route matrix only; final complete route/action/state matrix still required.
