kind,shard_id,browser,route_or_range,expected,completed,passed,failed,unique_signatures,status,artifact_id,exact_head
browser,chromium-calculator-center,chromium,calculator-center,72,0,0,0,0,PENDING,,
browser,chromium-india-finance,chromium,india-finance,72,0,0,0,0,PENDING,,
browser,chromium-formula-library,chromium,formula-library,72,0,0,0,0,PENDING,,
browser,chromium-formula-detail,chromium,formula-detail,72,0,0,0,0,PENDING,,
browser,chromium-indicator-library,chromium,indicator-library,72,0,0,0,0,PENDING,,
browser,chromium-indicator-detail,chromium,indicator-detail,72,0,0,0,0,PENDING,,
browser,chromium-calculator-detail,chromium,calculator-detail,72,0,0,0,0,PENDING,,
browser,chromium-saved-calculations,chromium,saved-calculations,72,0,0,0,0,PENDING,,
browser,chromium-saved-calculation-detail,chromium,saved-calculation-detail,72,0,0,0,0,PENDING,,
browser,firefox-calculator-center,firefox,calculator-center,72,0,0,0,0,PENDING,,
browser,firefox-india-finance,firefox,india-finance,72,0,0,0,0,PENDING,,
browser,firefox-formula-library,firefox,formula-library,72,0,0,0,0,PENDING,,
browser,firefox-formula-detail,firefox,formula-detail,72,0,0,0,0,PENDING,,
browser,firefox-indicator-library,firefox,indicator-library,72,0,0,0,0,PENDING,,
browser,firefox-indicator-detail,firefox,indicator-detail,72,0,0,0,0,PENDING,,
browser,firefox-calculator-detail,firefox,calculator-detail,72,0,0,0,0,PENDING,,
browser,firefox-saved-calculations,firefox,saved-calculations,72,0,0,0,0,PENDING,,
browser,firefox-saved-calculation-detail,firefox,saved-calculation-detail,72,0,0,0,0,PENDING,,
browser,webkit-calculator-center,webkit,calculator-center,72,0,0,0,0,PENDING,,
browser,webkit-india-finance,webkit,india-finance,72,0,0,0,0,PENDING,,
browser,webkit-formula-library,webkit,formula-library,72,0,0,0,0,PENDING,,
browser,webkit-formula-detail,webkit,formula-detail,72,0,0,0,0,PENDING,,
browser,webkit-indicator-library,webkit,indicator-library,72,0,0,0,0,PENDING,,
browser,webkit-indicator-detail,webkit,indicator-detail,72,0,0,0,0,PENDING,,
browser,webkit-calculator-detail,webkit,calculator-detail,72,0,0,0,0,PENDING,,
browser,webkit-saved-calculations,webkit,saved-calculations,72,0,0,0,0,PENDING,,
browser,webkit-saved-calculation-detail,webkit,saved-calculation-detail,72,0,0,0,0,PENDING,,
accessibility,a11y-0,chromium,canonical routes 1-3,6,0,0,0,0,PENDING,,
accessibility,a11y-1,chromium,canonical routes 4-6,6,0,0,0,0,PENDING,,
accessibility,a11y-2,chromium,canonical routes 7-9,6,0,0,0,0,PENDING,,
accessibility,a11y-3,chromium,canonical routes 10-12,6,0,0,0,0,PENDING,,
accessibility,a11y-4,chromium,canonical routes 13-15,6,0,0,0,0,PENDING,,
accessibility,a11y-5,chromium,canonical routes 16-18,6,0,0,0,0,PENDING,,
accessibility,a11y-6,chromium,canonical routes 19-21,6,0,0,0,0,PENDING,,
accessibility,a11y-7,chromium,canonical routes 22-24,6,0,0,0,0,PENDING,,
accessibility,a11y-8,chromium,canonical routes 25-27,6,0,0,0,0,PENDING,,
