record_id,outcome,failure_id,run_id,exact_head,route,browser,viewport,theme_requested,theme_observed,motion_mode,authentication_state,persistence_state,action_state,first_failing_assertion,console_error,page_error,resource_failure,screenshot_path,likely_category,confirmed_root_cause,affected_source_path,severity,fix_commit,retest_result,waiver_status,waiver_rationale,fixed_nav_overlap_count,horizontal_overflow_px,unlabeled_controls,cls,truth_boundary_passed,font_status,load_ms
P2B-R30482255458-001,FAIL,BF-001,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,chromium,360x800,dark,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,valid calculation after route render,fixed-nav-overlap:16,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,16,0,0,0,True,loaded,568.89
P2B-R30482255458-002,FAIL,BF-002,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,chromium,360x800,dark,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial India finance truth/unavailable-rule state,fixed-nav-overlap:18,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,18,0,0,0,True,loaded,289.96
P2B-R30482255458-003,FAIL,BF-003,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,chromium,360x800,dark,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,valid indicator calculation after route render,fixed-nav-overlap:15,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,15,0,0,0,True,loaded,482.48
P2B-R30482255458-004,FAIL,BF-004,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,chromium,360x800,dark,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial formula catalogue state,fixed-nav-overlap:19,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,19,0,0,0,True,loaded,414.5
P2B-R30482255458-005,FAIL,BF-005,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,chromium,360x800,dark,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial/empty local-persistence state,fixed-nav-overlap:18,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,18,0,0,0,True,loaded,302.18
P2B-R30482255458-006,FAIL,BF-006,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,calculator-center,chromium,360x800,light,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,valid calculation after route render,fixed-nav-overlap:16,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,16,0,0,0,True,loaded,535.88
P2B-R30482255458-007,FAIL,BF-007,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,india-finance,chromium,360x800,light,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial India finance truth/unavailable-rule state,fixed-nav-overlap:18,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,18,0,0,0,True,loaded,320.44
P2B-R30482255458-008,FAIL,BF-008,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,indicator-library,chromium,360x800,light,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,valid indicator calculation after route render,fixed-nav-overlap:15,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,15,0,0,0,True,loaded,476.37
P2B-R30482255458-009,FAIL,BF-009,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,formula-library,chromium,360x800,light,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial formula catalogue state,fixed-nav-overlap:19,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,19,0,0,0,True,loaded,311.02
P2B-R30482255458-010,FAIL,BF-010,30482255458,ff6a8ab2180527e3dc62e2cf4890338eef18aa96,saved-calculations,chromium,360x800,light,dark,reduced,anonymous static visual preview,local storage reset before context; route-specific browser-local only,initial/empty local-persistence state,fixed-nav-overlap:18,,,,,test harness defect,"The harness counted any visible interactive rectangle intersecting the fixed bottom-navigation rectangle, including navigation descendants and content temporarily behind it after Playwright auto-scroll. It did not test whether final focusable content can scroll fully above the navigation.",scripts/prompt2b-final-review.mjs,MEDIUM,PENDING,PENDING,NO,,18,0,0,0,True,loaded,274.33
