risk_id,category,finding,severity,status,source,impact,required_action,blocks_prompt2b,owner,last_verified,source_commit
SEC-001,Truth labeling,Feature Universe says “47 connected screens” and “Public live + deterministic fallback” despite no production-connected route/provider evidence.,HIGH,OPEN,apps/web/public/assets/routes/feature-universe.mjs:8,Misleading public completion/connectivity claim.,Separate draft hotfix: replace with truthful preview/prototype wording and regression tests.,yes until hotfix reviewed,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-002,Data truth,Live market UI contains hard-coded INR tape prices/percentages and “Live watch universe” wording.,HIGH,OPEN,apps/web/public/assets/routes/live-markets.mjs:34,Static values can be mistaken for current market observations.,Separate draft hotfix: label deterministic demo and derive all displayed values from truth-labelled response.,yes for public truth claims,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-003,Fallback integrity,"LiveMarketService silently returns fixture data after provider error, though fallback reason is included in metadata.",HIGH,OPEN,src/live-markets/live-market-service.mjs,Consumers may ignore metadata and display realistic fixtures as live.,Provider failure must return UNAVAILABLE/STALE unless user explicitly selected DEMO; add schema and UI regression tests.,yes for provider work,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-004,Supply chain,TradingView Lightweight Charts is loaded from an unpinned unpkg URL at runtime without SRI.,HIGH,OPEN,apps/web/public/assets/market/tradingview-live-chart.mjs:2,External script substitution and outage risk.,Pin exact version and integrity or self-host audited package; CSP and offline fallback.,no for calculators; yes before connected release,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-005,Branch governance,Branch protection REST endpoint was inaccessible to the read-only Actions token and no rulesets were visible.,MEDIUM,UNVERIFIED,LIVE_GITHUB_STATE.json,Required-check enforcement cannot be proven by this audit.,Owner verifies branch protection/rules with administrative UI or authorized API.,"no, but blocks merge/release confidence",Hemang Sah,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-006,Provider licensing,Public market adapters exist without completed commercial/redistribution/geographic review.,HIGH,OPEN,QELLY_PROVIDER_REGISTRY.csv,Use may violate provider terms or regional restrictions.,Legal/source-specific approval before enablement or redistribution.,no for deterministic Wave 1; yes for provider waves,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-007,Authorization,"Broker/wallet/exchange connections lack OAuth/PKCE/state, least-privilege scopes, KMS token storage, revocation and deletion implementations.",HIGH,OPEN,repository absence,Account compromise/overbroad access if implemented ad hoc.,Implement only in Wave 4 behind security architecture and read-only scopes.,no,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-008,Database migration,Parallel legacy and qelly_* organization/workspace tables require ownership and migration reconciliation.,MEDIUM,OPEN,packages/migrations/001_foundation.sql and 100_release_a1_production_foundation.sql,Ambiguous canonical entities and migration drift.,"Document canonical tables, migration path, rollback and data consistency checks.",no for local formulas,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-009,Per-route authorization,"187 API contracts exist, but authorization/tenant-isolation evidence is not complete per endpoint.",HIGH,OPEN,src/server/server.mjs and API inventory,IDOR/BOLA or cross-tenant access risk.,Endpoint-by-endpoint auth/tenant tests before connected beta.,no for unauthenticated deterministic calculators; yes for persistence features,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-010,Secrets,No hard-coded production credential was detected by exact-head secret scan; test/example secrets exist by design.,LOW,CONTROL_PRESENT,workflow 30441613550 secret-scan success,None observed; ongoing scan required.,Keep secrets server-side and scans mandatory.,no,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
SEC-011,High-risk scope,"Real-money trading, custody, deposits/withdrawals, private-key/seed storage and autonomous execution remain disabled.",PROHIBITED_FOR_BETA,CONTROL_PRESENT,feature flags/runtime invariants,Catastrophic if enabled without separate program.,Keep hard-disabled.,no,Hemang Sah,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771
