id,route,release,status,introducedOrChanged
R001,auth-login,25.0.0,implemented-local,inherited
R002,auth-register,25.0.0,implemented-local,inherited
R003,account-session,25.0.0,implemented-local,inherited
R004,security-setup,25.0.0,implemented-local,A2
R005,passkey-center,25.0.0,implemented-local,A3
R006,account-recovery,25.0.0,implemented-local,A3
R007,secure-import-vault,25.0.0,implemented-local,A2
R008,delivery-operations,25.0.0,implemented-local,A3
R009,market,25.0.0,implemented-local,inherited
R010,rankings,25.0.0,implemented-local,inherited
R011,search,25.0.0,implemented-local,inherited
R012,asset,25.0.0,implemented-local,inherited
R013,watchlist,25.0.0,implemented-local,inherited
R014,theme-lab,25.0.0,implemented-local,inherited
R015,identity-access,25.0.0,implemented-local,inherited
R016,data-mesh,25.0.0,implemented-local,inherited
R017,instrument-master,25.0.0,implemented-local,inherited
R018,timeseries-lab,25.0.0,implemented-local,inherited
R019,stream-operations,25.0.0,implemented-local,inherited
R020,observability,25.0.0,implemented-local,inherited
R021,security-evidence,25.0.0,implemented-local,inherited
R022,discovery-hub,25.0.0,implemented-local,inherited
R023,asset-rankings,25.0.0,implemented-local,inherited
R024,categories,25.0.0,implemented-local,inherited
R025,category-detail,25.0.0,implemented-local,inherited
R026,venues,25.0.0,implemented-local,inherited
R027,venue-detail,25.0.0,implemented-local,inherited
R028,dex-discovery,25.0.0,implemented-local,inherited
R029,global-charts,25.0.0,implemented-local,inherited
R030,converter,25.0.0,implemented-local,inherited
R031,news-research,25.0.0,implemented-local,inherited
R032,research-article,25.0.0,implemented-local,inherited
R033,trust-center,25.0.0,implemented-local,inherited
R034,asset-intelligence,25.0.0,implemented-local,inherited
R035,advanced-chart,25.0.0,implemented-local,inherited
R036,fundamentals-estimates,25.0.0,implemented-local,inherited
R037,filing-workspace,25.0.0,implemented-local,inherited
R038,event-calendar,25.0.0,implemented-local,inherited
R039,comparison-lab,25.0.0,implemented-local,inherited
R040,alert-center,25.0.0,implemented-local,inherited
R041,notification-center,25.0.0,implemented-local,inherited
R042,screener-lab,25.0.0,implemented-local,inherited
R043,portfolio-analytics,25.0.0,implemented-local,inherited
R044,research-workspace,25.0.0,implemented-local,inherited
R045,onboarding,25.0.0,implemented-local,inherited
R046,notification-schedules,25.0.0,implemented-local,inherited
R047,formula-screener,25.0.0,implemented-local,inherited
R048,portfolio-attribution,25.0.0,implemented-local,inherited
R049,import-center,25.0.0,implemented-local,inherited
R050,research-history,25.0.0,implemented-local,inherited
R051,migration-center,25.0.0,implemented-local,inherited
R052,live-markets,25.0.0,implemented-local,inherited
R053,theme-personas,25.0.0,implemented-local,inherited
R054,about-qelly,25.0.0,implemented-local,inherited
R055,feature-universe,25.0.0,implemented-local,inherited
