requirement_id,domain,capability,status,evidence,truth_boundary,next_dependency
W6-001,Hardened foundation,Recursive canonical JSON hashing,implemented-local-foundation,src/platform/canonical-json.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-002,Hardened foundation,Nested actor tamper detection,implemented-local-foundation,tests/part18-hardening.test.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-003,Hardened foundation,Nested details tamper detection,implemented-local-foundation,tests/part18-hardening.test.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-004,Hardened foundation,Audit checkpoint and truncation detection,implemented-local-foundation,src/security/audit-ledger.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-005,Hardened foundation,Recoverable audit append queue,implemented-local-foundation,src/security/audit-ledger.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-006,Hardened foundation,Atomic JSON writes,implemented-local-foundation,src/platform/json-store.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-007,Hardened foundation,Cross-instance local file locking,implemented-local-foundation,src/platform/local-file-lock.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-008,Hardened foundation,Failed-write lock recovery,implemented-local-foundation,tests/part18-hardening.test.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-009,Hardened foundation,User tenant workspace preference scoping,implemented-local-foundation,src/server/preferences-store.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-010,Hardened foundation,Optimistic preference revisions,implemented-local-foundation,src/server/preferences-store.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-011,Hardened foundation,Preference conflict protection,implemented-local-foundation,tests/part18-hardening.test.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-012,Hardened foundation,Preference inventory evidence,implemented-local-foundation,GET /api/v1/preferences/layout/inventory,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-013,Hardened foundation,Random session-bound CSRF,implemented-local-foundation,src/security/csrf-token-store.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-014,Hardened foundation,Development identity production isolation,implemented-local-foundation,scripts/production-identity-check.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-015,Hardened foundation,Dependency-free runtime schema registry,implemented-local-foundation,src/validation/schema-validator.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-016,Hardened foundation,Preference input schema enforcement,implemented-local-foundation,PUT /api/v1/preferences/layout,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-017,Hardened foundation,Time-series append schema enforcement,implemented-local-foundation,POST /api/v1/timeseries/:id/append,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-018,Hardened foundation,Schema coverage endpoint,implemented-local-foundation,GET /api/v1/schemas/coverage,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
W6-019,Hardened foundation,Modular backend runtime construction,implemented-local-foundation,src/server/runtime.mjs,Single-host local foundation; not a production distributed control,"Production database, identity and distributed infrastructure"
