feature_id,domain,capability,current_status,gap_type,user_value,risk,dependency,effort,release_scope,target_wave,blocker,recommended_action,source_commit,last_verified
foundation.logo,Preserved Prompt 1 registry,Official Qelly logo system,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,LOW,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Connected to application shell and assets,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
foundation.typography,Preserved Prompt 1 registry,IBM Plex Sans Variable,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,LOW,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Canonical local font,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
foundation.theme-intelligence,Preserved Prompt 1 registry,Theme Intelligence and 13 themes,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,LOW,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Frozen visual foundation,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
foundation.asset-rankings,Preserved Prompt 1 registry,Asset Rankings responsive interface,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,LOW,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Existing data truth remains unchanged,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.truth-state,Preserved Prompt 1 registry,Canonical capability truth states,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Feature adoption remains Prompt 2 work,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.evidence-metadata,Preserved Prompt 1 registry,Source freshness lineage metadata,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Provider adoption remains pending,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.environment-model,Preserved Prompt 1 registry,Local test preview staging production model,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,No production credentials included,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.feature-flags,Preserved Prompt 1 registry,Governed feature flags and kill boundaries,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,Execution and custody hard-disabled,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.provider-interface,Preserved Prompt 1 registry,Provider adapter interface,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,CRITICAL,MEDIUM,FOUNDATION,M,PUBLIC_BETA_MUST,WAVE_0,No real provider connected,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
beta.observability,Preserved Prompt 1 registry,Redacted observability event interface,IMPLEMENTED_DETERMINISTIC_LOCAL,none/foundation,HIGH,MEDIUM,FOUNDATION,M,POST_BETA,WAVE_0,Backend sink planned,preserve and extend with tests,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
