feature_id,domain,capability,feature,priority,status,evidence,truth_boundary,test_evidence,acceptance_coverage,production_dependency
QF-0001,Public Discovery,Market Overview,Global market KPIs,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0002,Public Discovery,Market Overview,cross-asset movers,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0003,Public Discovery,Market Overview,ranked asset table,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0004,Public Discovery,Market Overview,sector/category heatmap,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0005,Public Discovery,Market Overview,macro strip,P1,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0006,Public Discovery,Market Overview,news,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0007,Public Discovery,Market Overview,events,P2,implemented-local-foundation,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0008,Public Discovery,Market Overview,personalized modules,P2,production-deferred,src/discovery/discovery-service.mjs#overview; apps/web/public/assets/app.js#renderDiscoveryHub,"Personalization, favorites, alerts or reading lists require additional identity/product workflow implementation.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,Not represented as working production capability; explicit disabled/deferred boundary retained.,Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0009,Public Discovery,Cross-Asset Rankings,Cross-asset ranking grid,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
QF-0010,Public Discovery,Cross-Asset Rankings,asset-class tabs,P0,implemented-local-foundation,src/discovery/discovery-service.mjs#rankings; apps/web/public/assets/app.js#renderAssetRankings; src/discovery/saved-discovery-store.mjs,"Deterministic, delayed, cached or simulated local fixture only; external and licensed providers disabled.",tests/wave5-discovery.test.mjs; tests/server.test.mjs,"Executable deterministic API/UI evidence with lineage, freshness and explicit fixture boundaries.",Qelly normalized market gateway; Provider registry; Quote aggregator
