feature_id,domain,capability,status,frontend_status,backend_status,data_status,persistence_status,security_status,provider,route,api,database_entity,event_worker,tests,evidence,blocker,dependency,target_wave,owner,last_verified,source_commit,notes
REQ-EA-MARKETPLACE,EA and Algorithm Marketplace,EA marketplace,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,"No listing, creator, licensing, scanning, sandbox, subscription or evidence implementation.","No listing, creator, licensing, scanning, sandbox, subscription or evidence implementation.",FOUNDATION,WAVE_6,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-INDICATORS,Charts and Technical Analysis,Indicators,PROTOTYPE,PROTOTYPE,PROTOTYPE,SIMULATED,PARTIAL,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,Technical-study contracts/UI labels exist; no governed formula library or reference vectors.,Technical-study contracts/UI labels exist; no governed formula library or reference vectors.,FOUNDATION,WAVE_1,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-QUANT-CALCULATORS,Calculators,Quant Calculator Center,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No dedicated route/package; formula catalog created by audit only.,No dedicated route/package; formula catalog created by audit only.,FOUNDATION,WAVE_1,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-INDIA-FINANCE,India Finance,SIP/India Finance Center,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No effective-dated tax/scheme engine or calculator UI.,No effective-dated tax/scheme engine or calculator UI.,FOUNDATION,WAVE_1,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-ACCOUNT-DIRECTORY,Provider Directory,Account-opening directory,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No governed legal/regulatory/account-opening dataset or redirect allowlist.,No governed legal/regulatory/account-opening dataset or redirect allowlist.,FOUNDATION,WAVE_2,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-WALLET-CONNECTIONS,Connections,Wallet connections,REQUIRES_AUTHORIZATION,PLANNED,PLANNED,REQUIRES_AUTHORIZATION,UNAVAILABLE,BLOCKED_SECURITY,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No wallet SDK/adapters; read-only first; no seed phrase/private key.,No wallet SDK/adapters; read-only first; no seed phrase/private key.,SECURITY,WAVE_4,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-BROKER-CONNECTIONS,Connections,Broker connections,REQUIRES_AUTHORIZATION,PLANNED,PLANNED,REQUIRES_AUTHORIZATION,UNAVAILABLE,BLOCKED_SECURITY,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No OAuth/API-key adapters or KMS-backed token vault.,No OAuth/API-key adapters or KMS-backed token vault.,SECURITY,WAVE_4,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-EXCHANGE-CONNECTIONS,Connections,Exchange connections,REQUIRES_AUTHORIZATION,PLANNED,PLANNED,REQUIRES_AUTHORIZATION,UNAVAILABLE,BLOCKED_SECURITY,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,Only public market-data candidates; no user account adapter.,Only public market-data candidates; no user account adapter.,SECURITY,WAVE_4,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-STRATEGY-BUILDER,Quant Research,Strategy builder,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,No visual/code builder or compiler worker.,No visual/code builder or compiler worker.,FOUNDATION,WAVE_5,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
REQ-BACKTESTING,Quant Research,Backtesting,PLANNED,PLANNED,PLANNED,UNAVAILABLE,UNAVAILABLE,PARTIAL,TBD; see provider registry,absent or prototype; see route registry,absent or contract-only,missing for domain,missing for domain,missing domain-complete matrix,"No backtest engine, cost model, walk-forward or experiment persistence.","No backtest engine, cost model, walk-forward or experiment persistence.",FOUNDATION,WAVE_5,unassigned,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Requested-feature truth matrix; no implementation performed in Prompt 2A.
