"provider_id","repository_mode","capabilities_in_repository","credentials_in_frontend","static_preview_use","production_status","governance_note"
"qelly-static-demo","enabled-static","public demo assets; candles; provider status; Decision Provenance demo","none","deterministic-demo-not-live","not-a-production-provider","Bundled Qelly-authored records; mutations rejected."
"qelly-fixture-primary","enabled-development","search; quote; timeseries; reference","none","none","development-fixture-only","Primary deterministic adapter with lineage and quality metadata."
"qelly-fixture-secondary","enabled-development","search; quote; timeseries; reference","none","none","development-fixture-only","Secondary deterministic adapter for fallback/disagreement tests."
"qelly-fixture-validation","enabled-development","search; quote; timeseries; reference","none","none","development-fixture-only","Validation adapter; not licensed market data."
"binance-public","conditional-read-only","public candles and ticker normalization","none","none","disabled unless explicitly configured","Read-only market adapter; execution absent; licensing and target-region review required."
"coindcx-public","conditional-read-only","public candles and ticker normalization","none","none","disabled unless explicitly configured","Read-only market adapter; execution absent; licensing and target-region review required."
"coingecko","disabled","planned search; quote; timeseries","none","none","disabled","Adapter/terms/attribution/cache/redistribution review required before enablement."
"coinbase-public","disabled","planned quote; stream","none","none","disabled","Adapter/terms/attribution/cache/redistribution review required before enablement."
"kraken-public","disabled","planned quote; stream","none","none","disabled","Adapter/terms/attribution/cache/redistribution review required before enablement."
"openfigi","disabled","planned identifier mapping","none","none","disabled","Terms, attribution, caching, and identifier redistribution review required."
"licensed-equities","planned-secret-reference","planned search; quote; timeseries; stream","none","none","not-configured","Credential reference is server-side only; vendor contract required."
"frankfurter","baseline-inventory-only","foreign-exchange reference in historical provider inventory","none","none","not-enabled-in-current-runtime","Re-audit implementation and terms before use."
"world-bank","baseline-inventory-only","macro reference in historical provider inventory","none","none","not-enabled-in-current-runtime","Re-audit implementation and terms before use."
"fred","baseline-inventory-only","macro reference in historical provider inventory","none","none","not-enabled-in-current-runtime","Re-audit implementation, attribution, and redistribution rights."
"sec-edgar","baseline-inventory-only","filing source in historical provider inventory","none","none","not-enabled-in-current-runtime","Use official filing access policy, attribution, and rate limits."
"gdelt","baseline-inventory-only","news/event source in historical provider inventory","none","none","not-enabled-in-current-runtime","Re-audit terms, quality, coverage, and redistribution rights."
"polymarket","planned","prediction-market intelligence only","none","none","not-implemented","Must remain explicitly non-tradable intelligence; legal/region review required."
