stable_id,name,type,version,installed_status,intended_wave_status,source_module,vector,duplicate,alias,deferred_or_later_wave,authoritative_reason
position-size,position-size,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
fixed-fractional-position-size,fixed-fractional-position-size,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
kelly-criterion,kelly-criterion,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
risk-reward,risk-reward,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
expectancy,expectancy,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
r-multiple,r-multiple,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
stop-loss-distance,stop-loss-distance,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
target-price,target-price,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
breakeven-price,breakeven-price,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
leverage,leverage,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
initial-margin,initial-margin,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
margin-utilization,margin-utilization,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
isolated-liquidation-estimate,isolated-liquidation-estimate,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
round-trip-cost,round-trip-cost,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
absolute-return,absolute-return,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
annualized-return,annualized-return,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
cagr,cagr,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
time-weighted-return,time-weighted-return,formula,1.0.0,IMPLEMENTED_DETERMINISTIC_LOCAL,Prompt 2B Wave 1 foundation,apps/web/public/assets/calculation/formula-engine.mjs,installed test coverage,false,,false,Enumerated by exact-head formula engine
