component_id,component,states,keyboard_behavior,mobile_behavior,status,implementation_evidence,route_adoption,tests,risk,source_commit
COMP-001,Button,default hover active pressed focus selected loading disabled error warning success,Enter/Space,full-width option,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-002,Icon button,default hover active pressed focus selected loading disabled,Enter/Space; accessible name required,44px touch target,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-003,Split button,default hover focus expanded disabled,Arrow keys and Enter,menu becomes sheet,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-004,Segmented control,default hover focus selected disabled,Arrow keys,horizontal scroll,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-005,Tabs,default hover focus selected disabled,Arrow keys Home End,scrollable tab rail,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-006,Filter chip,default hover focus selected disabled,Enter/Space/Delete,wrap or horizontal rail,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-007,Status indicator,live delayed estimated derived demo fallback stale unavailable,read-only semantics,never color-only,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-008,Text field,default hover focus filled error disabled,native editing,full width,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-009,Combobox,closed open loading no-results error disabled,Arrow keys Enter Escape,sheet on narrow screens,PARTIAL,source token/class match,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
COMP-010,Date/time selector,default focus invalid disabled,native or roving grid,modal sheet,CONTRACT_ONLY,design contract only,incremental; not proven for every route,generic design/browser validation; no complete per-component matrix,contract existence is not full implementation,eafb11719e67135c7a6fa3b15e1170c5192e4771
