Feature ID,Wave,Domain,Capability,Feature,Part 15 Evidence,Truth Status,Source Status
QF-0254,2,Identity and User System,Sign In and Passkey,Email/SSO/passkey entry,"Architecture contract only for email, OIDC and passkey; no production sign-in; evidence: Part 15 contracts/runtime boundary",partial local foundation,Planned
QF-0255,2,Identity and User System,Sign In and Passkey,device trust,"Local device inventory and trust attributes in identity runtime; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0256,2,Identity and User System,Sign In and Passkey,MFA,MFA methods contracted; only simulated step-up exists; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0257,2,Identity and User System,Sign In and Passkey,recovery,Recovery architecture contracted; no recovery workflow; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0258,2,Identity and User System,Sign In and Passkey,legal and security notices,"Security truth notices in identity route and contracts; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0259,2,Identity and User System,Onboarding,Role/goals,Local role fixtures exist; guided onboarding is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0260,2,Identity and User System,Onboarding,asset classes,Cross-asset instrument taxonomy exists; onboarding choice is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0261,2,Identity and User System,Onboarding,regions,Jurisdiction/territory fields exist; onboarding choice is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0262,2,Identity and User System,Onboarding,data preferences,Entitlement and source preferences modeled; onboarding is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0263,2,Identity and User System,Onboarding,theme/density,"Persisted theme and density preference controls; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0264,2,Identity and User System,Onboarding,provider connections,Provider registry/control surface exists; real connection workflow disabled; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0265,2,Identity and User System,Onboarding,workspace template,Workspace records and layouts exist; template chooser is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0266,2,Identity and User System,Global Command Palette,Assets,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0267,2,Identity and User System,Global Command Palette,routes,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0268,2,Identity and User System,Global Command Palette,commands,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0269,2,Identity and User System,Global Command Palette,layouts,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0270,2,Identity and User System,Global Command Palette,recent items,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0271,2,Identity and User System,Global Command Palette,actions,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0272,2,Identity and User System,Global Command Palette,settings,"Carried-forward command palette and route/action control surface; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0273,2,Identity and User System,Notification Inbox,Alerts,Alert state patterns exist; unified inbox is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0274,2,Identity and User System,Notification Inbox,approvals,Approval obligations modeled; inbox workflow is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0275,2,Identity and User System,Notification Inbox,incidents,"Data-quality incident surface in Security Evidence route; evidence: src/identity, src/security, src/server and Part 15 UI/tests",implemented local foundation,Planned
QF-0276,2,Identity and User System,Notification Inbox,sync failures,Provider failure evidence exists; inbox workflow is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
QF-0277,2,Identity and User System,Notification Inbox,research mentions,Research surface preserved; mentions inbox is deferred; evidence: Part 15 contracts/runtime boundary,partial local foundation,Planned
