formula_id,name,domain,inputs,input_units,output,assumptions,precision,rounding,effective_dates,source_reference,edge_cases,test_vectors,client_status,server_status,version,target_wave,source_commit
F-RISK-POSITION-SIZE,Position size,risk,"account_equity,risk_fraction,entry,stop","currency,ratio,price",quantity,linear loss to stop,"decimal(38,12)",instrument lot/tick,not rate based,Qelly formula spec,zero/negative stop distance; gap risk,"100000,1%,100,95=>200",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-RISK-KELLY,Kelly fraction,risk,"win_probability,payoff_ratio",ratio,capital fraction,independent stationary binary outcomes,"decimal(18,10)",display 4dp,methodology-versioned,Kelly criterion,"p outside [0,1]; b<=0","p=.55,b=1=>.10",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-RISK-FRACTIONAL-KELLY,Fractional Kelly,risk,"kelly_fraction,multiplier",ratio,capital fraction,multiplier 0..1,"decimal(18,10)",display 4dp,methodology-versioned,Kelly criterion,negative Kelly floors policy,"kelly=.1,m=.5=>.05",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-RETURN-CAGR,CAGR,returns,"begin_value,end_value,years","currency,currency,years",annualized return,positive duration,"decimal(18,10)",display 2-4dp,not rate based,standard finance,begin<=0; years<=0,"100,121,2=>10%",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-RETURN-XIRR,XIRR,India finance,dated_cashflows,"currency,date",annualized internal rate,at least one positive and negative cash flow,high precision iterative,display 4dp,not rate based,spreadsheet-compatible methodology,no root; multiple roots; invalid dates,"[-1000 today,+1100 year]=>~10%",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-PORT-SHARPE,Sharpe ratio,portfolio risk,"returns,risk_free_rate,periods",ratio,annualized ratio,consistent periodicity,"decimal(18,10)",display 3dp,risk-free series effective dates,standard finance,zero volatility,"excess=.01,sd=.02=>.5 per period",PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-PORT-SORTINO,Sortino ratio,portfolio risk,"returns,target,periods",ratio,annualized ratio,downside deviation definition versioned,"decimal(18,10)",display 3dp,methodology-versioned,standard finance,no downside observations,vector fixture,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-RISK-VAR-HIST,Historical VaR,portfolio risk,"pnl_series,confidence","currency,ratio",loss quantile,historical distribution,"decimal(38,12)",currency minor unit,methodology-versioned,standard finance,short samples; sign convention,known ordered losses,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-OPT-BLACK-SCHOLES,Black-Scholes European option,options,"spot,strike,time,rate,volatility,dividend_yield,call_put","price,price,years,ratio,ratio,ratio,enum",option value and Greeks,European/lognormal/continuous inputs,"decimal(38,16)",display by instrument tick,rate curve effective date,Black-Scholes-Merton,zero time/volatility; negative rates,canonical textbook vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
F-OPT-BLACK-76,Black-76 option,options,"forward,strike,time,rate,volatility,call_put","price,price,years,ratio,ratio,enum",discounted option value,European option on forward,"decimal(38,16)",instrument tick,curve effective date,Black 1976,zero time/volatility,canonical textbook vector,PLANNED,PLANNED,1.0,WAVE_1,eafb11719e67135c7a6fa3b15e1170c5192e4771
