check_id,route,url,viewport,dimensions,authenticated,landmark,heading,labels,keyboard_entry,focus,overflow,font,required_resources,console_page_errors,status,failure,fix_commit,final_retest
P2B-A11Y-01,auth-login,https://qelly.test/#/auth-login,desktop,1440x1000,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-02,auth-login,https://qelly.test/#/auth-login,mobile,390x844,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-03,auth-register,https://qelly.test/#/auth-register,desktop,1440x1000,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-04,auth-register,https://qelly.test/#/auth-register,mobile,390x844,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-05,auth-recovery,https://qelly.test/#/auth-recovery,desktop,1440x1000,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-06,auth-recovery,https://qelly.test/#/auth-recovery,mobile,390x844,false,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-07,account-session,https://qelly.test/#/account-session,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-08,account-session,https://qelly.test/#/account-session,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-09,onboarding,https://qelly.test/#/onboarding,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-10,onboarding,https://qelly.test/#/onboarding,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-11,discovery-hub,https://qelly.test/#/discovery-hub,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-12,discovery-hub,https://qelly.test/#/discovery-hub,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-13,live-markets,https://qelly.test/#/live-markets,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-14,live-markets,https://qelly.test/#/live-markets,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-15,identity-access,https://qelly.test/#/identity-access,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-16,identity-access,https://qelly.test/#/identity-access,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-17,security-evidence,https://qelly.test/#/security-evidence,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-18,security-evidence,https://qelly.test/#/security-evidence,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-19,security-setup,https://qelly.test/#/security-setup,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-20,security-setup,https://qelly.test/#/security-setup,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-21,secure-import-vault,https://qelly.test/#/secure-import-vault,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-22,secure-import-vault,https://qelly.test/#/secure-import-vault,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-23,passkey-center,https://qelly.test/#/passkey-center,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-24,passkey-center,https://qelly.test/#/passkey-center,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-25,account-recovery,https://qelly.test/#/account-recovery,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-26,account-recovery,https://qelly.test/#/account-recovery,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-27,delivery-operations,https://qelly.test/#/delivery-operations,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-28,delivery-operations,https://qelly.test/#/delivery-operations,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-29,platform-readiness,https://qelly.test/#/platform-readiness,desktop,1440x1000,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
P2B-A11Y-30,platform-readiness,https://qelly.test/#/platform-readiness,mobile,390x844,true,pass,pass,pass,pass,pass,0,exact compiled IBM Plex,pass,0,PASS,,1109d9daa828886209b62493fb168b4392daa79c,PASS
