"provider_or_category","official_api_verified_for_this_batch","commercial_terms_verified","attribution_verified","caching_verified","redistribution_verified","derived_data_rights_verified","geographic_review","current_decision"
"Qelly deterministic demo","not-applicable","qelly-authored","qelly-authored","bundled-static","bundled-static","qelly-authored","not-applicable","Allowed only as clearly labelled demo not live."
"Binance public market data","no","no","repository-label-only","no","no","no","required","Keep disabled by default; no production or redistributed use."
"CoinDCX public market data","no","no","repository-label-only","no","no","no","required","Keep disabled by default; no production or redistributed use."
"CoinGecko","no","no","no","no","no","no","required","Keep disabled until current official terms and technical policy are reviewed."
"Coinbase Exchange Public","no","no","no","no","no","no","required","Keep disabled until current official terms and technical policy are reviewed."
"Kraken Public","no","no","no","no","no","no","required","Keep disabled until current official terms and technical policy are reviewed."
"OpenFIGI","no","no","no","no","no","no","required","Keep disabled until identifier-use and redistribution terms are reviewed."
"Licensed equities feed","vendor-not-selected","no","no","no","no","no","required","Procurement and legal review required before implementation."
"Official filings","source-specific-review-required","no","no","no","no","no","required","Use only official access mechanisms after source policy review."
"News providers","vendor-not-selected","no","no","no","no","no","required","No syndicated content or redistribution until licensed."
"On-chain providers","vendor-not-selected","no","no","no","no","no","required","No production data claim until licensed and reconciled."
"ETF and treasury sources","source-specific-review-required","no","no","no","no","no","required","No live/institutional completeness claim until governed sources exist."
"CoinGlass","not-a-provider","not-reviewed-for-use","not-applicable","not-applicable","not-authorized","not-authorized","not-applicable","Reference principles only; do not scrape or reproduce proprietary data."
"CoinMarketCap","not-a-provider","not-reviewed-for-use","not-applicable","not-applicable","not-authorized","not-authorized","not-applicable","Reference principles only; do not scrape or reproduce proprietary data."
