screen_id,route,name,domain,runtime_screen,reference_design_frames,status,source_file,responsive_status,accessibility_status,data_state,backend_dependency,risk,source_commit,last_verified
SCREEN-001,#/auth-login,Secure Login,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/auth-login.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-002,#/auth-register,Create Organization,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/auth-register.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-003,#/auth-recovery,Recover Account,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/auth-recovery.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-004,#/account-session,Session Center,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/account-session.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-005,#/security-setup,MFA Setup,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/security-setup.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-006,#/passkey-center,Passkey Center,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/passkey-center.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-007,#/account-recovery,Recovery Controls,account,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/account-recovery.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-008,#/secure-import-vault,Secure Import Vault,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/secure-import-vault.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-009,#/delivery-operations,Delivery Operations,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/delivery-operations.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-010,#/platform-readiness,Platform Readiness,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/platform-readiness.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-011,#/secret-rotation,Secret Rotation,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/secret-rotation.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-012,#/quarantine-review,Quarantine Review,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/quarantine-review.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-013,#/staging-assurance,Staging Assurance,operations,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/staging-assurance.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-014,#/live-markets,Live Market Command,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/live-markets.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,SIMULATED,local/test contracts or fixture services; no public connected proof,fixture fallback can resemble live; provider terms unverified; hard-coded tape values,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-015,#/theme-personas,Theme Personas,experience,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/routes/theme-personas.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,PARTIAL,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-016,#/feature-universe,Feature Universe,home,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/feature-universe.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,misleading connected/live wording,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-017,#/about-qelly,About Qelly,home,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),STATIC_DEMO,apps/web/public/assets/routes/about-qelly.mjs,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,DEMO,not-proven-on-public-pages,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
SCREEN-018,#/discovery-hub,Discovery Overview,markets,yes,see root QELLY_SCREEN_MATRIX.csv (411 specification frames; not executable screens),PARTIAL,apps/web/public/assets/app.js or route registry,foundation present; route-specific evidence incomplete,foundation present; route-specific evidence incomplete,SIMULATED,local/test contracts or fixture services; no public connected proof,,eafb11719e67135c7a6fa3b15e1170c5192e4771,2026-07-29T15:49:53+05:30
