feature_id,domain_id,domain,capability,aliases,status,frontend_status,backend_status,data_status,persistence_status,security_status,provider,route,api,database_entity,event_worker,tests,evidence,blocker,dependency,target_wave,owner,user_value,risk,effort,release_scope,public_beta_safe,last_verified,source_commit,notes
foundation.logo,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Official Qelly logo system,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,PR #13 merged; browser evidence,Connected to application shell and assets,FOUNDATION,WAVE_0,unassigned,CRITICAL,LOW,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
foundation.typography,LEGACY-STABLE-ID,Preserved Prompt 1 registry,IBM Plex Sans Variable,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Typography governance workflows and public font probe,Canonical local font,FOUNDATION,WAVE_0,unassigned,CRITICAL,LOW,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
foundation.theme-intelligence,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Theme Intelligence and 13 themes,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Theme specialist workflow,Frozen visual foundation,FOUNDATION,WAVE_0,unassigned,CRITICAL,LOW,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
foundation.asset-rankings,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Asset Rankings responsive interface,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,DEMO,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,UI and browser artifacts,Existing data truth remains unchanged,FOUNDATION,WAVE_0,unassigned,CRITICAL,LOW,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.truth-state,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Canonical capability truth states,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,13-state schema module and tests,Feature adoption remains Prompt 2 work,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.evidence-metadata,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Source freshness lineage metadata,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Schema and tests,Provider adoption remains pending,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.environment-model,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Local test preview staging production model,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Config and tests,No production credentials included,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.feature-flags,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Governed feature flags and kill boundaries,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Config and tests,Execution and custody hard-disabled,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.provider-interface,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Provider adapter interface,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Timeout abort health kill-switch contract and tests,No real provider connected,FOUNDATION,WAVE_0,unassigned,CRITICAL,MEDIUM,M,PUBLIC_BETA_MUST,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
beta.observability,LEGACY-STABLE-ID,Preserved Prompt 1 registry,Redacted observability event interface,,IMPLEMENTED_DETERMINISTIC_LOCAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,IMPLEMENTED_DETERMINISTIC_LOCAL,PARTIAL,PARTIAL,see provider registry,see route registry,see API registry,see DB inventory,see worker inventory,Prompt 1 workflow evidence; Wave 0 reclassification,Module and tests,Backend sink planned,FOUNDATION,WAVE_0,unassigned,HIGH,MEDIUM,M,POST_BETA,yes/conditional,2026-07-29T15:49:53+05:30,eafb11719e67135c7a6fa3b15e1170c5192e4771,Existing stable feature ID preserved; classification corrected to Prompt 2A vocabulary.
