Feature ID,Domain,Capability,Status,Evidence,Truth Boundary,Production Gate
W6P19-001,Advanced chart,Deterministic daily OHLCV bars,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-002,Advanced chart,Candlestick chart contract,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-003,Advanced chart,Volume pane contract,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-004,Advanced chart,Multi-pane layout metadata,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-005,Advanced chart,One month through two year ranges,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-006,Advanced chart,Split-adjusted series contract,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-007,Technical studies,Simple moving average,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-008,Technical studies,Exponential moving average,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-009,Technical studies,Bollinger Bands,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
W6P19-010,Technical studies,MACD,implemented-local-foundation,src/asset-intelligence/advanced-asset-service.mjs,Deterministic local fixture or contract; not licensed/live production evidence,"Production provider, distributed infrastructure, independent compliance and operational validation where applicable"
