"frame_id","page","frame_name","route","purpose","viewport","persona","state","source_requirements","interaction_notes","accessibility_notes","responsive_notes","backend_dependencies"
"QF-0001","01 — Cover and product principles","01 — Cover and product principles · Foundation","design-system","Editable foundation for Cover and product principles.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0002","02 — Brand foundation","02 — Brand foundation · Foundation","design-system","Editable foundation for Brand foundation.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0003","03 — Color tokens","03 — Color tokens · Foundation","design-system","Editable foundation for Color tokens.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0004","04 — Typography","04 — Typography · Foundation","design-system","Editable foundation for Typography.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0005","05 — Spacing and grids","05 — Spacing and grids · Foundation","design-system","Editable foundation for Spacing and grids.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0006","06 — Iconography","06 — Iconography · Foundation","design-system","Editable foundation for Iconography.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0007","07 — Motion system","07 — Motion system · Foundation","design-system","Editable foundation for Motion system.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0008","08 — Accessibility","08 — Accessibility · Foundation","design-system","Editable foundation for Accessibility.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0009","09 — Navigation architecture","09 — Navigation architecture · Foundation","design-system","Editable foundation for Navigation architecture.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
"QF-0010","10 — Components","10 — Components · Foundation","design-system","Editable foundation for Components.","desktop-1440","All personas","governed-foundation","Canonical record; provider/source; observation and ingestion time; freshness; quality; confidence; fallback reason.","Keyboard, pointer, touch, command search, and progressive disclosure.","Landmarks, visible focus, non-color state encoding, accessible names, text alternative, 200% zoom.","Preserve source and confidence; prioritise content rather than shrinking desktop.","None for design foundation."
