service_id,service,source_file,status,exports,test_evidence,persistence,provider_dependency,auth_tenancy,observability,production_readiness,risk,source_commit
SVC-001,AdvancedAssetService,src/asset-intelligence/advanced-asset-service.mjs,PARTIAL,AdvancedAssetService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-002,AssetIntelligenceService,src/asset-intelligence/asset-intelligence-service.mjs,PARTIAL,AssetIntelligenceService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-003,ChartLayoutStore,src/asset-intelligence/chart-layout-store.mjs,PARTIAL,ChartLayoutStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-004,NotificationScheduleStore,src/automation/notification-schedule-store.mjs,PARTIAL,NotificationScheduleStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-005,DataQualityEngine,src/data-quality/quality-engine.mjs,PARTIAL,DataQualityEngine,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-006,"discoveryAssets, categories, venues, dexPairs, globalCharts",src/discovery/discovery-service.mjs,PARTIAL,discoveryAssets | categories | venues | dexPairs | globalCharts | predictionMarkets | newsItems | researchArticles | methodologies | coverage | platformStatus | DiscoveryService,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-007,SavedDiscoveryStore,src/discovery/saved-discovery-store.mjs,PARTIAL,SavedDiscoveryStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-008,EntitlementEngine,src/entitlements/entitlement-engine.mjs,PARTIAL,EntitlementEngine,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-009,DecisionProvenanceStore,src/evidence/decision-provenance-store.mjs,PARTIAL,DecisionProvenanceStore,test import/name match,sqlite/local-json,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-010,PostgresDecisionProvenanceStore,src/evidence/postgres-decision-provenance-store.mjs,PARTIAL,PostgresDecisionProvenanceStore,test import/name match,postgres,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
SVC-011,evaluateAccess,src/identity/authorization-engine.mjs,PARTIAL,evaluateAccess,test import/name match,none/unknown,no/indirect,implemented in call sites for selected services; not universal proof,partial/local; production sink unconnected,not proven,partial end-to-end evidence,eafb11719e67135c7a6fa3b15e1170c5192e4771
