feature_id,area,capability,status,evidence,truth_boundary,production_gate
P21-001,Guided onboarding,Onboarding option catalog,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-002,Guided onboarding,User-scoped onboarding profile,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-003,Guided onboarding,Tenant-scoped onboarding profile,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-004,Guided onboarding,Workspace-scoped onboarding profile,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-005,Guided onboarding,Goal selection,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-006,Guided onboarding,Asset-class selection,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-007,Guided onboarding,Region selection,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-008,Guided onboarding,Base-currency preference,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-009,Guided onboarding,Experience-level preference,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-010,Guided onboarding,Workspace-template selection,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-011,Guided onboarding,Provider-interest capture,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-012,Guided onboarding,Digest-cadence preference,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-013,Guided onboarding,Progress calculation,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-014,Guided onboarding,Revision tracking,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-015,Guided onboarding,Completion validation,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-016,Guided onboarding,Completion audit event,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-017,Guided onboarding,Profile reset,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-018,Guided onboarding,Onboarding responsive route,implemented-local-foundation,src/onboarding/onboarding-store.mjs; src/server/server.mjs; apps/web/public/assets/routes/onboarding.mjs,"Local configuration only; no account creation, entitlement grant, provider authorization or investment advice.","Production identity, organization provisioning, provider OAuth and policy approval"
P21-019,Guided onboarding,Workspace template materialization,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-020,Guided onboarding,Personalized homepage generation,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-021,Guided onboarding,Cross-device onboarding sync,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-022,Guided onboarding,Invitation onboarding,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-023,Guided onboarding,Organization creation workflow,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-024,Guided onboarding,Passkey enrollment during onboarding,partial-local-contract,src/onboarding/onboarding-store.mjs; packages/contracts/onboarding-automation-attribution.contract.json,"Preferences and templates are represented, but no production provisioning is performed.","Production identity provider, distributed database and lifecycle orchestration"
P21-025,Guided onboarding,Production identity creation,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json,Dangerous or credential-bearing onboarding is intentionally absent.,"Regulated integrations, secure credential exchange, legal review and production authentication"
P21-026,Guided onboarding,Broker account onboarding,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json,Dangerous or credential-bearing onboarding is intentionally absent.,"Regulated integrations, secure credential exchange, legal review and production authentication"
P21-027,Guided onboarding,Exchange account onboarding,production-deferred,packages/contracts/onboarding-automation-attribution.contract.json,Dangerous or credential-bearing onboarding is intentionally absent.,"Regulated integrations, secure credential exchange, legal review and production authentication"
